name,min_sf,max_sf,min_tf,max_tf,status
STC04-LM-01-5225-cell2,-5,0,-5,4,good
STC04-LM-02-5259-cell1,-5,0,-5,4,good
STC05-LM-01-5409-cell1,-5,-2,-5,4,constrain_me
STC05-LM-01-5474-cell1,-5,0,-5,4,good
STC05-LM-02-5612-cell1,-5,0,-5,4,good
STC05-LM-05-5696-cell1,-5,0,-5,4,good
STC05-LM-09-5640-cell1,-5,0,-5,4,good
STC06-LM-04-5545-cell1,-5,0,-5,4,good
STC06-LM-04-5545-cell2,-5,0,-5,4,good
STC06-LM-04-5602-cell1,-5,0,-5,4,good
STC06-LM-04-5602-cell2,-5,0,-5,4,good
STC06-LM-06-5764-cell1,-5,0,-5,4,good
STC06-LM-06-5914-cell1,-5,0,-5,4,good
STC06-LM-07-5630-cell1,-5,0,-5,4,good
STC06-LM-08-5922-cell1,-5,0,-5,4,good
STC06-LM-08-5922-cell2,-5,0,-5,4,good
STC06-LM-11-5169-cell1,-5,-2,-5,4,constrain_me
STC07-LM-01-5637-cell1,-5,0,-5,4,good
STC07-LM-05-5756-cell1,-5,0,-5,4,good
STC07-LM-06-5901-cell1,-5,0,-5,4,good
STC07-LM-11-5904-cell1,-5,0,-5,4,good
STC07-LM-13-5909-cell1,-5,0,-5,4,good
STC08-LM-04-5655-cell1,-5,0,-5,4,good
STC08-LM-04-5709-cell1,-5,0,-5,4,good
STC08-LM-04-5709-cell2,-5,0,-5,4,good
STC08-LM-05-5655-cell1,-2,0,-5,4,constrain_me
STC08-LM-05-5655-cell2,-3,0,-5,4,constrain_me
STC08-LM-05-5707-cell1,-3,0,-5,4,constrain_me
STC08-LM-05-5775-cell1,-5,0,-5,4,good
STC08-LM-09-5571-cell1,-5,0,-5,4,good
STC08-LM-09-5629-cell1,-3,0,-5,4,constrain_me
STC08-LM-15-5514-cell1,-5,0,-5,4,good
STC09-LM-08-5154-cell1,-5,0,-5,4,good
STC09-LM-08-5154-cell2,-5,0,-5,4,good
STC09-LM-08-5217-cell1,-5,0,-5,4,good
STC09-LM-08-5217-cell2,-5,0,-5,4,good
STC09-LM-08-5289-cell1,-5,0,-5,4,good
STC09-LM-08-5289-cell2,-5,0,-5,4,good
STC09-LM-08-5371-cell2,-5,0,-5,4,good
STC09-LM-08-5478-cell1,-5,-1,-5,4,constrain_me
STC09-LM-09-5004-cell1,-5,0,-5,4,good
STC09-LM-09-5004-cell2,-5,0,-5,4,good
STC09-LM-11-5150-cell1,-5,0,-5,4,good
STC09-LM-11-5150-cell2,-5,0,-5,4,good
STC09-LM-11-5235-cell1,-5,0,-5,4,good
STC09-LM-11-5311-cell1,-5,0,-5,4,good
