direction,SF,TF,logSF,logTF,cell1,cell1_spont,cell1_lessspont,cell1_norm
135,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,39.11,37.857,1.2530000000000001,0.032200863486842105
135,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,42.521,37.857,4.6640000000000015,0.11986019736842107
135,0.125,0.031,-3,-5.011587974275212,40.749,37.857,2.892000000000003,0.07432154605263165
135,0.25,0.031,-2,-5.011587974275212,40.578,37.857,2.7210000000000036,0.06992701480263167
135,0.5,0.031,-1,-5.011587974275212,40.589,37.857,2.7319999999999993,0.07020970394736839
135,1,0.031,0,-5.011587974275212,41.593,37.857,3.736000000000004,0.09601151315789483
135,0.03150943396226415,0.125,-4.988072351863872,-3,40.363,37.857,2.5060000000000002,0.06440172697368421
135,0.06297169811320755,0.125,-3.9891526177630077,-3,43.117,37.857,5.259999999999998,0.13517680921052624
135,0.125,0.125,-3,-3,38.276,37.857,0.41900000000000404,0.010767886513157996
135,0.25,0.125,-2,-3,40.477,37.857,2.6199999999999974,0.06733141447368414
135,0.5,0.125,-1,-3,40.943,37.857,3.0859999999999985,0.07930715460526311
135,1,0.125,0,-3,49.271,37.857,11.414000000000001,0.2933285361842105
135,0.03150943396226415,0.5,-4.988072351863872,-1,42.965,37.857,5.108000000000004,0.1312705592105264
135,0.06297169811320755,0.5,-3.9891526177630077,-1,48.356,37.857,10.499000000000002,0.26981393914473684
135,0.125,0.5,-3,-1,45.714,37.857,7.856999999999999,0.2019171463815789
135,0.25,0.5,-2,-1,39.32,37.857,1.463000000000001,0.03759765625000002
135,0.5,0.5,-1,-1,37.153,37.857,-0.7040000000000006,-0.01809210526315791
135,1,0.5,0,-1,46.287,37.857,8.43,0.2166426809210526
135,0.03150943396226415,2,-4.988072351863872,1,68.97,37.857,31.113,0.7995733963815788
135,0.06297169811320755,2,-3.9891526177630077,1,76.769,37.857,38.912000000000006,1
135,0.125,2,-3,1,75.278,37.857,37.42100000000001,0.961682771381579
135,0.25,2,-2,1,48.273,37.857,10.416000000000004,0.26768092105263164
135,0.5,2,-1,1,41.323,37.857,3.466000000000001,0.08907277960526318
135,1,2,0,1,41.723,37.857,3.8659999999999997,0.09935238486842103
135,0.03150943396226415,8,-4.988072351863872,3,56.019,37.857,18.162,0.4667454769736841
135,0.06297169811320755,8,-3.9891526177630077,3,55.286,37.857,17.429000000000002,0.44790810032894735
135,0.125,8,-3,3,68.262,37.857,30.405,0.7813784950657894
135,0.25,8,-2,3,63.716,37.857,25.859,0.6645507812499999
135,0.5,8,-1,3,49.138,37.857,11.280999999999999,0.28991056743421045
135,1,8,0,3,35.751,37.857,-2.1060000000000016,-0.05412212171052635
135,0.03150943396226415,16,-4.988072351863872,4,37.652,37.857,-0.2049999999999983,-0.0052682976973683765
135,0.06297169811320755,16,-3.9891526177630077,4,43.089,37.857,5.231999999999999,0.13445723684210523
135,0.125,16,-3,4,57.515,37.857,19.658,0.5051912006578947
135,0.25,16,-2,4,48.052,37.857,10.195,0.2620014391447368
135,0.5,16,-1,4,54.356,37.857,16.499000000000002,0.42400801809210525
135,1,16,0,4,42.366,37.857,4.509,0.11587685032894736
