direction,SF,TF,logSF,logTF,cell1,cell1_spont,cell1_lessspont,cell1_norm
270,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,4.9825,4.4172,0.5652999999999997,0.009686794224593794
270,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,4.6727,4.4172,0.2554999999999996,0.004378163673065119
270,0.125,0.031,-3,-5.011587974275212,8.227,4.4172,3.8098,0.06528347538803725
270,0.25,0.031,-2,-5.011587974275212,9.4113,4.4172,4.9941,0.08557724931371644
270,0.5,0.031,-1,-5.011587974275212,7.3507,4.4172,2.9334999999999996,0.05026748780797082
270,1,0.031,0,-5.011587974275212,6.2937,4.4172,1.8765,0.03215508466734524
270,0.03150943396226415,0.125,-4.988072351863872,-3,5.2347,4.4172,0.8174999999999999,0.014008410186813073
270,0.06297169811320755,0.125,-3.9891526177630077,-3,13.832,4.4172,9.4148,0.1613289054762174
270,0.125,0.125,-3,-3,14.206,4.4172,9.788799999999998,0.16773764603874716
270,0.25,0.125,-2,-3,16.827,4.4172,12.4098,0.21265023698631547
270,0.5,0.125,-1,-3,7.1662,4.4172,2.7489999999999997,0.04710595670158916
270,1,0.125,0,-3,7.6032,4.4172,3.186,0.05459424447117609
270,0.03150943396226415,0.5,-4.988072351863872,-1,14.579,4.4172,10.1618,0.17412925093132367
270,0.06297169811320755,0.5,-3.9891526177630077,-1,22.108,4.4172,17.6908,0.30314371000963025
270,0.125,0.5,-3,-1,41.74,4.4172,37.3228,0.6395511825325835
270,0.25,0.5,-2,-1,46.243,4.4172,41.8258,0.7167131043322401
270,0.5,0.5,-1,-1,20.491,4.4172,16.0738,0.27543533169516327
270,1,0.5,0,-1,6.9774,4.4172,2.5602,0.043870742214408356
270,0.03150943396226415,2,-4.988072351863872,1,37.956,4.4172,33.5388,0.5747098074293411
270,0.06297169811320755,2,-3.9891526177630077,1,49.716,4.4172,45.2988,0.77622528608001
270,0.125,2,-3,1,62.775,4.4172,58.3578,1
270,0.25,2,-2,1,47.585,4.4172,43.1678,0.7397091734095528
270,0.5,2,-1,1,34.084,4.4172,29.666800000000002,0.5083604933702094
270,1,2,0,1,22.251,4.4172,17.8338,0.30559411081295046
270,0.03150943396226415,8,-4.988072351863872,3,24.568,4.4172,20.1508,0.3452974580947191
270,0.06297169811320755,8,-3.9891526177630077,3,19.749,4.4172,15.331799999999998,0.26272066458982346
270,0.125,8,-3,3,35.067,4.4172,30.6498,0.5252048569342915
270,0.25,8,-2,3,40.486,4.4172,36.068799999999996,0.6180630524111601
270,0.5,8,-1,3,57.521,4.4172,53.1038,0.909969190065424
270,1,8,0,3,46.928,4.4172,42.510799999999996,0.7284510382502425
270,0.03150943396226415,16,-4.988072351863872,4,27.541,4.4172,23.1238,0.39624180486584487
270,0.06297169811320755,16,-3.9891526177630077,4,13.025,4.4172,8.607800000000001,0.14750041982391388
270,0.125,16,-3,4,10.533,4.4172,6.115799999999999,0.10479833030031974
270,0.25,16,-2,4,18.813,4.4172,14.395799999999998,0.24668167751354572
270,0.5,16,-1,4,33.512,4.4172,29.0948,0.4985588901569285
270,1,16,0,4,21.31,4.4172,16.892799999999998,0.2894694453869063
