direction,SF,TF,logSF,logTF,cell1,cell2,cell3,cell1_spont,cell1_lessspont,cell1_norm,cell2_spont,cell2_lessspont,cell2_norm,cell3_spont,cell3_lessspont,cell3_norm
90,0.015754716981132073,0.031,-5.988072351863872,-5.011587974275212,2.9825,3.2307,0.99394,1.7598,1.2227,0.0930220173156221,2.0824,1.1483000000000003,0.05967488800889695,0.30596,0.68798,0.07756396958682457
90,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,3.3529,3.9729,0.99299,1.7598,1.5931,0.12120174677804658,2.0824,1.8905000000000003,0.09824555933189903,0.30596,0.68703,0.0774568650618275
90,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,4.0983,3.7283,1.1184,1.7598,2.3385,0.17791116994567946,2.0824,1.6459000000000001,0.08553417937284984,0.30596,0.81244,0.09159578977749318
90,0.125,0.031,-3,-5.011587974275212,3.1061,3.4784,0.74528,1.7598,1.3463,0.10242540436085878,2.0824,1.3960000000000004,0.07254736885867816,0.30596,0.43932000000000004,0.04952964202285498
90,0.25,0.031,-2,-5.011587974275212,2.1091,1.9858,0.62041,1.7598,0.34930000000000017,0.026574458696611448,2.0824,-0.0965999999999998,-0.005020111627326858,0.30596,0.31445,0.035451597774029744
90,0.5,0.031,-1,-5.011587974275212,2.3595,2.7326,0.49705,1.7598,0.5997000000000001,0.045624686173369254,2.0824,0.6502000000000003,0.03378961263030985,0.30596,0.19108999999999998,0.02154379334914722
90,1,0.031,0,-5.011587974275212,1.8618,2.6071,0.24814,1.7598,0.10199999999999987,0.007760076687816669,2.0824,0.5247000000000002,0.027267624957126386,0.30596,-0.05782000000000001,-0.006518719616137383
90,0.015754716981132073,0.125,-5.988072351863872,-3,3.9704,5.3344,1.4888,1.7598,2.2106000000000003,0.1681806424126231,2.0824,3.252,0.16900003118081755,0.30596,1.18284,0.13335528036582395
90,0.03150943396226415,0.125,-4.988072351863872,-3,3.8559,3.3581,1.2438,1.7598,2.0961,0.15946957593463276,2.0824,1.2757,0.06629561493769033,0.30596,0.93784,0.10573358707710624
90,0.06297169811320755,0.125,-3.9891526177630077,-3,4.9695,3.9745,1.1175,1.7598,3.2096999999999998,0.24419135436161957,2.0824,1.8921000000000001,0.09832870817872845,0.30596,0.8115399999999999,0.0914943223327591
90,0.125,0.125,-3,-3,4.2193,3.475,0.8687,1.7598,2.4594999999999994,0.18711675111456,2.0824,1.3926000000000003,0.07237067755916562,0.30596,0.56274,0.06344421094405311
90,0.25,0.125,-2,-3,3.4794,3.2303,0.49665,1.7598,1.7196,0.13082576345460356,2.0824,1.1479000000000004,0.05965410079718959,0.30596,0.19068999999999997,0.02149869670704319
90,0.5,0.125,-1,-3,2.3592,2.3599,0.12426,1.7598,0.5993999999999999,0.045601862418405074,2.0824,0.2775000000000003,0.014421128121979375,0.30596,-0.18170000000000003,-0.020485149675755147
90,1,0.125,0,-3,3.1045,2.3594,0.24882,1.7598,1.3446999999999998,0.10230367766771654,2.0824,0.27700000000000014,0.014395144107345168,0.30596,-0.057139999999999996,-0.0064420553245605324
90,0.015754716981132073,0.5,-5.988072351863872,-1,5.833,6.579,2.3579,1.7598,4.0732,0.3098857290668127,2.0824,4.4966,0.23367944040826083,0.30596,2.05194,0.23133900949735284
90,0.03150943396226415,0.5,-4.988072351863872,-1,4.8427,6.955,1.8631,1.7598,3.0828999999999995,0.23454451393009842,2.0824,4.8726,0.25321941941317705,0.30596,1.55714,0.17555446321466903
90,0.06297169811320755,0.5,-3.9891526177630077,-1,6.2137,4.2269,1.9888,1.7598,4.4539,0.3388490741163403,2.0824,2.1445,0.1114454387660711,0.30596,1.68284,0.1897260829958601
90,0.125,0.5,-3,-1,3.8496,4.2225,1.3657,1.7598,2.0898000000000003,0.1589902770803853,2.0824,2.1401000000000003,0.1112167794372902,0.30596,1.05974,0.11947678875830904
90,0.25,0.5,-2,-1,3.6008,1.9874,0.74528,1.7598,1.841,0.1400617762967697,2.0824,-0.09499999999999975,-0.004936962780497425,0.30596,0.43932000000000004,0.04952964202285498
90,0.5,0.5,-1,-1,4.4657,3.0973,0.62115,1.7598,2.7058999999999997,0.20586266185846228,2.0824,1.0149000000000004,0.052742352904493174,0.30596,0.31518999999999997,0.035535026561922194
90,1,0.5,0,-1,2.2362,2.3602,0.37267,1.7598,0.47640000000000016,0.03624412288309674,2.0824,0.27780000000000005,0.01443671853075988,0.30596,0.06670999999999999,0.007520992486899424
90,0.015754716981132073,2,-5.988072351863872,1,10.936,9.0712,3.7274,1.7598,9.1762,0.6981178010072884,2.0824,6.9887999999999995,0.3631941629509526,0.30596,3.4214399999999996,0.38573863790102186
90,0.03150943396226415,2,-4.988072351863872,1,14.044,14.79,4.7227,1.7598,12.2842,0.9345719024360555,2.0824,12.7076,0.6603889287310446,0.30596,4.41674,0.49795035761637185
90,0.06297169811320755,2,-3.9891526177630077,1,14.904,13.041,4.7202,1.7598,13.1442,1,2.0824,10.9586,0.5694968455406234,0.30596,4.41424,0.49766850360322173
90,0.125,2,-3,1,7.9435,10.3,2.9783,1.7598,6.1837,0.4704508452397255,2.0824,8.217600000000001,0.4270524773159553,0.30596,2.67234,0.3012839014007017
90,0.25,2,-2,1,5.3474,6.0929,1.7412,1.7598,3.5876,0.27294167769814826,2.0824,4.0105,0.2084177813808945,0.30596,1.43524,0.16181126153346623
90,0.5,2,-1,1,4.2268,2.8594,0.99438,1.7598,2.4669999999999996,0.18768734498866418,2.0824,0.7770000000000001,0.04037915874154221,0.30596,0.68842,0.077613575893139
