direction,SF,TF,logSF,logTF,cell1,cell2,cell1_spont,cell1_lessspont,cell1_norm,cell2_spont,cell2_lessspont,cell2_norm
0,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,10.299,5.4603,9.6672,0.6318000000000001,0.018230714627854507,4.5901,0.8702000000000005,0.03871358089501246
0,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,10.685,4.845,9.6672,1.0178000000000011,0.029368821380548166,4.5901,0.2549000000000001,0.011340027315719
0,0.125,0.031,-3,-5.011587974275212,13.527,4.8401,9.6672,3.8598,0.1113752964871681,4.5901,0.25,0.011122035421458409
0,0.25,0.031,-2,-5.011587974275212,7.8312,4.3506,9.6672,-1.8359999999999994,-0.052978145072397675,4.5901,-0.2394999999999996,-0.010654909933757138
0,0.5,0.031,-1,-5.011587974275212,8.8261,3.1081,9.6672,-0.8410999999999991,-0.024270107745312446,4.5901,-1.4819999999999998,-0.06593142597840544
0,1,0.031,0,-5.011587974275212,9.4501,4.104,9.6672,-0.21709999999999852,-0.006264463668419097,4.5901,-0.48609999999999953,-0.021625685673483712
0,0.03150943396226415,0.125,-4.988072351863872,-3,11.92,6.9526,9.6672,2.2528000000000006,0.06500499194939954,4.5901,2.3625000000000007,0.105103234732782
0,0.06297169811320755,0.125,-3.9891526177630077,-3,10.316,5.0934,9.6672,0.6488000000000014,0.01872125300815452,4.5901,0.5033000000000003,0.022390881710480082
0,0.125,0.125,-3,-3,18.262,9.0688,9.6672,8.594800000000001,0.24800466300013277,4.5901,4.4787,0.1992490401683431
0,0.25,0.125,-2,-3,12.8,6.7128,9.6672,3.1328000000000014,0.09039756692963376,4.5901,2.1227,0.09443497835651907
0,0.5,0.125,-1,-3,10.309,5.5898,9.6672,0.6417999999999999,0.01851926661626625,4.5901,0.9997000000000007,0.04447479524332792
0,1,0.125,0,-3,7.4622,4.6021,9.6672,-2.204999999999999,-0.06362571344479133,4.5901,0.012000000000000455,5.338577002300239e-4
0,0.03150943396226415,0.5,-4.988072351863872,-1,23.088,12.908,9.6672,13.420800000000002,0.3872598526076444,4.5901,8.3179,0.37004791372859563
0,0.06297169811320755,0.5,-3.9891526177630077,-1,22.104,13.411,9.6672,12.4368,0.3588663369479279,4.5901,8.8209,0.39242544899656995
0,0.125,0.5,-3,-1,24.59,13.411,9.6672,14.9228,0.4306003612670895,4.5901,8.8209,0.39242544899656995
0,0.25,0.5,-2,-1,27.096,15.287,9.6672,17.428800000000003,0.5029114895630746,4.5901,10.696900000000001,0.4758852027991939
0,0.5,0.5,-1,-1,17.769,12.179,9.6672,8.101799999999999,0.23377904997143334,4.5901,7.588900000000001,0.33761605843962295
0,1,0.5,0,-1,11.058,4.9686,9.6672,1.3908000000000005,0.0401318105483065,4.5901,0.3785000000000007,0.016838761628088065
0,0.03150943396226415,2,-4.988072351863872,1,24.602,12.426,9.6672,14.934800000000001,0.43094662365318365,4.5901,7.8359000000000005,0.3486046294360238
0,0.06297169811320755,2,-3.9891526177630077,1,44.323,22.469,9.6672,34.6558,1,4.5901,17.8789,0.795399036386851
0,0.125,2,-3,1,41.844,27.068,9.6672,32.1768,0.9284679620727266,4.5901,22.4779,1
0,0.25,2,-2,1,34.767,18.75,9.6672,25.099800000000002,0.7242597198737297,4.5901,14.1599,0.6299476374572357
0,0.5,2,-1,1,25.84,16.523,9.6672,16.172800000000002,0.46666935981855856,4.5901,11.9329,0.5308725459228842
0,1,2,0,1,12.666,4.4706,9.6672,2.998800000000001,0.08653097028491627,4.5901,-0.1194999999999995,-0.005316332931457097
0,0.03150943396226415,8,-4.988072351863872,3,23.101,12.913,9.6672,13.4338,0.3876349701925796,4.5901,8.3229,0.37027035443702483
0,0.06297169811320755,8,-3.9891526177630077,3,19.129,10.557,9.6672,9.461800000000002,0.2730221203954317,4.5901,5.966900000000001,0.26545629262520076
0,0.125,8,-3,3,31.565,21.128,9.6672,21.897800000000004,0.6318653731842867,4.5901,16.5379,0.7357404383861481
0,0.25,8,-2,3,36.657,21.37,9.6672,26.989799999999995,0.7787960456835507,4.5901,16.7799,0.7465065686741199
0,0.5,8,-1,3,39.914,26.485,9.6672,30.2468,0.8727774283092585,4.5901,21.8949,0.9740634133971589
0,1,8,0,3,13.412,6.3354,9.6672,3.7448000000000015,0.10805694862043298,4.5901,1.7453000000000003,0.07764515368428546
0,0.03150943396226415,16,-4.988072351863872,4,11.177,4.7171,9.6672,1.5098000000000003,0.043565579210406345,4.5901,0.12700000000000067,0.005649993994100901
0,0.06297169811320755,16,-3.9891526177630077,4,13.66,6.705,9.6672,3.992800000000001,0.11521303793304442,4.5901,2.1149000000000004,0.09408797085136958
0,0.125,16,-3,4,12.795,6.0872,9.6672,3.1278000000000006,0.09025329093542786,4.5901,1.4971000000000005,0.06660319691786157
0,0.25,16,-2,4,16.394,8.321,9.6672,6.726799999999999,0.19410315156481742,4.5901,3.7309,0.16598080781567673
0,0.5,16,-1,4,17.378,10.552,9.6672,7.710800000000001,0.22249666722453387,4.5901,5.9619,0.26523385191677157
0,1,16,0,4,13.286,8.9395,9.6672,3.6188000000000002,0.10442119356644487,4.5901,4.349400000000001,0.19349672344836488
