direction,SF,TF,logSF,logTF,cell1,cell1_spont,cell1_lessspont,cell1_norm
0,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,3.2319,2.8227,0.4091999999999998,0.039067049826718714
0,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,4.1012,2.8227,1.2785000000000002,0.12206066276505353
0,0.125,0.031,-3,-5.011587974275212,3.3577,2.8227,0.5349999999999997,0.05107739896699538
0,0.25,0.031,-2,-5.011587974275212,4.2225,2.8227,1.3998,0.1336413889233648
0,0.5,0.031,-1,-5.011587974275212,2.2367,2.8227,-0.5860000000000003,-0.05594645942926977
0,1,0.031,0,-5.011587974275212,3.1055,2.8227,0.28279999999999994,0.02699941762218
0,0.03150943396226415,0.125,-4.988072351863872,-3,3.3568,2.8227,0.5340999999999996,0.050991474370602294
0,0.06297169811320755,0.125,-3.9891526177630077,-3,5.2161,2.8227,2.3933999999999997,0.22850214334132113
0,0.125,0.125,-3,-3,4.9653,2.8227,2.1426,0.20455782247978385
0,0.25,0.125,-2,-3,4.7135,2.8227,1.8907999999999996,0.18051802984447646
0,0.5,0.125,-1,-3,3.2278,2.8227,0.40509999999999957,0.03867561555426134
0,1,0.125,0,-3,4.1003,2.8227,1.2775999999999996,0.1219747381686604
0,0.03150943396226415,0.5,-4.988072351863872,-1,5.964,2.8227,3.1413,0.2999054829439676
0,0.06297169811320755,0.5,-3.9891526177630077,-1,9.9346,2.8227,7.1118999999999994,0.6789857078754666
0,0.125,0.5,-3,-1,6.0875,2.8227,3.2648,0.3116962470045731
0,0.25,0.5,-2,-1,6.8283,2.8227,4.005599999999999,0.38242173701345195
0,0.5,0.5,-1,-1,5.7146,2.8227,2.8918999999999997,0.27609482256570844
0,1,0.5,0,-1,3.2294,2.8227,0.40669999999999984,0.038828370392293504
0,0.03150943396226415,2,-4.988072351863872,1,9.5644,2.8227,6.741699999999999,0.6436420572257812
0,0.06297169811320755,2,-3.9891526177630077,1,9.6887,2.8227,6.8660000000000005,0.6555091987054028
0,0.125,2,-3,1,10.941,2.8227,8.118300000000001,0.7750685009976802
0,0.25,2,-2,1,7.8254,2.8227,5.0027,0.47761664263960363
0,0.5,2,-1,1,5.3435,2.8227,2.5207999999999995,0.2406652473196299
0,1,2,0,1,1.6132,2.8227,-1.2095000000000002,-0.11547311037491768
0,0.03150943396226415,8,-4.988072351863872,3,2.4853,2.8227,-0.33740000000000014,-0.03221217647002665
0,0.06297169811320755,8,-3.9891526177630077,3,6.3389,2.8227,3.5161999999999995,0.3356978509303724
0,0.125,8,-3,3,6.4606,2.8227,3.6379,0.3473167657981918
0,0.25,8,-2,3,13.297,2.8227,10.4743,1
0,0.5,8,-1,3,7.4537,2.8227,4.631,0.4421297843292631
0,1,8,0,3,5.3406,2.8227,2.5179,0.24038837917569672
0,0.03150943396226415,16,-4.988072351863872,4,1.8624,2.8227,-0.9603000000000002,-0.09168154435141253
0,0.06297169811320755,16,-3.9891526177630077,4,2.8594,2.8227,0.03669999999999973,0.0035038140973620894
0,0.125,16,-3,4,3.8539,2.8227,1.0311999999999997,0.0984504931117115
0,0.25,16,-2,4,3.4758,2.8227,0.6530999999999998,0.062352615449242414
0,0.5,16,-1,4,6.333,2.8227,3.5103,0.33513456746512893
0,1,16,0,4,2.9775,2.8227,0.15479999999999983,0.014779030579609123
