direction,SF,TF,logSF,logTF,cell1,cell1_spont,cell1_lessspont,cell1_norm
0,0.015754716981132073,0.031,-5.988072351863872,-5.011587974275212,9.8131,9.0232,0.7899000000000012,0.07632031536841301
0,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,8.5708,9.0232,-0.452399999999999,-0.04371098958433969
0,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,9.3225,9.0232,0.29930000000000057,0.02891843320643882
0,0.125,0.031,-3,-5.011587974275212,8.8148,9.0232,-0.20839999999999925,-0.02013565479526167
0,0.25,0.031,-2,-5.011587974275212,8.9454,9.0232,-0.07779999999999987,-0.007517053469632249
0,0.5,0.031,-1,-5.011587974275212,9.065,9.0232,0.04180000000000028,0.004038725385997824
0,1,0.031,0,-5.011587974275212,10.305,9.0232,1.2818000000000005,0.12384780382229611
0,0.015754716981132073,0.125,-5.988072351863872,-3,8.5769,9.0232,-0.44629999999999903,-0.043121606214612744
0,0.03150943396226415,0.125,-4.988072351863872,-3,9.696,9.0232,0.6728000000000005,0.0650060870741464
0,0.06297169811320755,0.125,-3.9891526177630077,-3,12.172,9.0232,3.1488000000000014,0.3042377630485614
0,0.125,0.125,-3,-3,9.5689,9.0232,0.5457000000000001,0.052725656534425784
0,0.25,0.125,-2,-3,11.05,9.0232,2.0268000000000015,0.19582987110862057
0,0.5,0.125,-1,-3,13.787,9.0232,4.763800000000002,0.46027942568938535
0,1,0.125,0,-3,16.523,9.0232,7.4998000000000005,0.7246323600456046
0,0.015754716981132073,0.5,-5.988072351863872,-1,9.3162,9.0232,0.29300000000000104,0.028309725791802836
0,0.03150943396226415,0.5,-4.988072351863872,-1,10.925,9.0232,1.9018000000000015,0.18375234304044533
0,0.06297169811320755,0.5,-3.9891526177630077,-1,11.051,9.0232,2.027800000000001,0.19592649133316592
0,0.125,0.5,-3,-1,10.935,9.0232,1.9118000000000013,0.18471854528589934
0,0.25,0.5,-2,-1,14.284,9.0232,5.2608000000000015,0.50829967728845
0,0.5,0.5,-1,-1,19.373,9.0232,10.349800000000002,1
0,1,0.5,0,-1,9.9384,9.0232,0.9152000000000005,0.0884268295039518
0,0.015754716981132073,2,-5.988072351863872,1,8.4486,9.0232,-0.5745999999999984,-0.05551798102378774
0,0.03150943396226415,2,-4.988072351863872,1,9.8159,9.0232,0.7927,0.07659085199714002
0,0.06297169811320755,2,-3.9891526177630077,1,10.189,9.0232,1.1658000000000008,0.11263985777502952
0,0.125,2,-3,1,11.308,9.0232,2.2848000000000006,0.22075788904133414
0,0.25,2,-2,1,11.291,9.0232,2.267800000000001,0.21911534522406237
0,0.5,2,-1,1,11.265,9.0232,2.2418000000000013,0.21660321938588195
0,1,2,0,1,8.9461,9.0232,-0.07709999999999972,-0.007449419312450454
0,0.015754716981132073,8,-5.988072351863872,3,8.8139,9.0232,-0.20929999999999893,-0.0202226129973525
0,0.03150943396226415,8,-4.988072351863872,3,8.1968,9.0232,-0.8263999999999996,-0.07984695356432003
0,0.06297169811320755,8,-3.9891526177630077,3,9.0666,9.0232,0.043400000000000105,0.00419331774527045
0,0.125,8,-3,3,9.8223,9.0232,0.799100000000001,0.0772092214342307
0,0.25,8,-2,3,10.06,9.0232,1.0368000000000013,0.10017584880867274
0,0.5,8,-1,3,9.3097,9.0232,0.2865000000000002,0.02768169433225764
0,1,8,0,3,10.054,9.0232,1.030800000000001,0.0995961274614003
0,0.015754716981132073,16,-5.988072351863872,4,8.8156,9.0232,-0.20759999999999934,-0.020058358615625355
0,0.03150943396226415,16,-4.988072351863872,4,8.9143,9.0232,-0.10889999999999844,-0.010521942452994109
0,0.06297169811320755,16,-3.9891526177630077,4,8.937,9.0232,-0.08619999999999983,-0.008328663355813622
0,0.125,16,-3,4,9.1977,9.0232,0.1745000000000001,0.016860229183172627
0,0.25,16,-2,4,8.3164,9.0232,-0.7067999999999994,-0.06829117470868995
0,0.5,16,-1,4,8.4444,9.0232,-0.5787999999999993,-0.05592378596687851
0,1,16,0,4,8.4388,9.0232,-0.5843999999999987,-0.056464859224332704
