SF,TF,RESP,SFFIT ,TFFIT,FIT
-5,-5,4.82,-5,-5,16.06327234
-5,-3,31.73666667,-5,-3,30.94673966
-5,-1,48.40333333,-5,-1,48.9754908
-5,1,58.82,-5,1,62.83320282
-5,3,58.07,-5,3,65.35007703
-5,4,64.15333333,-5,4,61.60160057
-4,-5,22.65333333,-4,-5,15.63841841
-4,-3,45.73666667,-4,-3,31.91663458
-4,-1,58.48666667,-4,-1,53.56242938
-4,1,59.48666667,-4,1,72.87019763
-4,3,80.40333333,-4,3,80.36855009
-4,4,71.32,-4,4,78.0138419
-3,-5,1.986666667,-3,-5,9.720316893
-3,-3,15.48666667,-3,-3,21.15216049
-3,-1,43.48666667,-3,-1,37.89070644
-3,1,48.65333333,-3,1,55.02463587
-3,3,56.65333333,-3,3,64.77809281
-3,4,53.48666667,-3,4,64.96524595
-2,-5,-0.263333333,-2,-5,3.931506693
-2,-3,3.07,-2,-3,9.102074076
-2,-1,19.32,-2,-1,17.36575646
-2,1,27.73666667,-2,1,26.85922961
-2,3,34.90333333,-2,3,33.67750451
-2,4,40.40333333,-2,4,34.85623845
-1,-5,-2.263333333,-1,-5,1.026053958
-1,-3,-1.346666667,-1,-3,2.527310394
-1,-1,3.653333333,-1,-1,5.135553938
-1,1,12.07,-1,1,8.459847057
-1,3,21.98666667,-1,3,11.297549
-1,4,17.40333333,-1,4,12.06736737
0,-5,4.82,0,-5,0.172788155
0,-3,-1.096666667,0,-3,0.452803095
0,-1,-2.93,0,-1,0.979971553
0,1,-6.096666667,0,1,1.719349064
0,3,1.403333333,0,3,2.445463301
0,4,2.82,0,4,2.695734617
