SF,TF,RESP,SFFIT ,TFFIT,FIT
-4.965784285,-4.965784285,0.12037037,-4.965784285,-4.965784285,0.449571197
-4.965784285,-3,20.62037037,-4.965784285,-3,0.398801888
-4.965784285,-1,15.62037037,-4.965784285,-1,0.223731955
-4.965784285,1,7.12037037,-4.965784285,1,0.079233297
-4.965784285,3,16.62037037,-4.965784285,3,0.017713172
-4.965784285,4,16.87037037,-4.965784285,4,0.00704805
-4.035046947,-4.965784285,22.87037037,-4.035046947,-4.965784285,5.626940072
-4.035046947,-3,12.87037037,-4.035046947,-3,5.320242897
-4.035046947,-1,7.62037037,-4.035046947,-1,3.18481977
-4.035046947,1,5.62037037,-4.035046947,1,1.203502948
-4.035046947,3,-2.12962963,-4.035046947,3,0.287090191
-4.035046947,4,-3.62962963,-4.035046947,4,0.118000076
-3,-4.965784285,37.87037037,-3,-4.965784285,34.13506779
-3,-3,58.62037037,-3,-3,34.64693563
-3,-1,29.37037037,-3,-1,22.29252675
-3,1,6.12037037,-3,1,9.054462235
-3,3,10.37037037,-3,3,2.321533338
-3,4,8.37037037,-3,4,0.989257594
-2,-4.965784285,66.12037037,-2,-4.965784285,71.12111295
-2,-3,68.87037037,-2,-3,77.30799883
-2,-1,58.37037037,-2,-1,53.33333601
-2,1,12.12037037,-2,1,23.22640347
-2,3,18.37037037,-2,3,6.385193751
-2,4,4.12037037,-2,4,2.817399762
-1,-4.965784285,82.37037037,-1,-4.965784285,55.0442973
-1,-3,74.87037037,-1,-3,64.07668666
-1,-1,67.12037037,-1,-1,47.39736695
-1,1,37.37037037,-1,1,22.13182785
-1,3,16.87037037,-1,3,6.523628907
-1,4,19.12037037,-1,4,2.980599112
0,-4.965784285,5.12037037,0,-4.965784285,15.82494221
0,-3,4.12037037,0,-3,19.72839139
0,-1,14.62037037,0,-1,15.64680592
0,1,10.37037037,0,1,7.833730272
0,3,-18.62962963,0,3,2.475827771
0,4,-15.37962963,0,4,1.171317616
