SF,TF,RESP,SFFIT ,TFFIT,FIT
-6,-5,0,-6,-5,0.00E+00
-6,-3,0,-6,-3,0.00E+00
-6,-1,0,-6,-1,0
-6,1,0,-6,1,0
-6,3,0,-6,3,0.00E+00
-6,4,0,-6,4,0.00E+00
-5,-5,2.864067827,-5,-5,1.75E-04
-5,-3,4.739480791,-5,-3,1.22E-01
-5,-1,7.960943701,-5,-1,6.678278369
-5,1,34.21662019,-5,1,25.14425673
-5,3,19.89752235,-5,3,6.499796512
-5,4,1.159465143,-5,4,1.21E+00
-4,-5,6.765901558,-4,-5,3.82E-05
-4,-3,6.375086228,-4,-3,5.00E-02
-4,-1,12.60931815,-4,-1,5.204664079
-4,1,43.00963455,-4,1,37.22640242
-4,3,20.0349832,-4,3,18.28083819
-4,4,8.332753119,-4,4,4.691655613
-3,-5,5.49859951,-3,-5,3.52E-06
-3,-3,2.528212678,-3,-3,9.28E-03
-3,-1,9.468838813,-3,-1,1.974506804
-3,1,41.02010334,-3,1,28.82927781
-3,3,34.87755704,-3,3,28.89984844
-3,4,22.01587578,-3,4,10.59702524
-2,-5,4.449699198,-2,-5,1.76E-07
-2,-3,3.359104242,-2,-3,9.14E-04
-2,-1,3.191447584,-2,-1,3.87E-01
-2,1,13.01197075,-2,1,11.27179736
-2,3,31.05194502,-2,3,22.51530741
-2,4,12.79242701,-2,4,11.65407309
-1,-5,5.202988236,-1,-5,4.46E-09
-1,-3,4.567918362,-1,-3,4.56E-05
-1,-1,1.274282392,-1,-1,3.85E-02
-1,1,4.946862034,-1,1,2.232270183
-1,3,13.25783113,-1,3,8.884937418
-1,4,18.84822657,-1,4,6.491808244
0,-5,5.342000298,0,-5,5.72E-11
0,-3,13.02001895,0,-3,1.15E-06
0,-1,9.913233005,0,-1,1.94E-03
0,1,5.225010356,0,1,0.223920843
0,3,-0.13029637,0,3,1.775926722
0,4,6.239886904,0,4,1.831672415
