SF,TF,RESP,SFFIT ,TFFIT,FIT
-6,-5,1.737950192,-6,-5,1.59E-23
-6,-3,1.861440218,-6,-3,5.29E-12
-6,-1,0.745807748,-6,-1,1.36652E-21
-6,1,2.358508329,-6,1,1.12823E-52
-6,3,3.8493379,-6,3,2.98E-105
-6,4,1.491018524,-6,4,1.33E-139
-5,-5,2.112847236,-5,-5,4.36E-42
-5,-3,1.986291715,-5,-3,6.99E-13
-5,-1,2.729822168,-5,-1,0.000175943
-5,1,7.331442283,-5,1,1.4167E-17
-5,3,2.648904979,-5,3,3.64685E-52
-5,4,1.366247884,-5,4,1.61E-77
-4,-5,1.118104135,-4,-5,3.60E-74
-4,-3,2.361041592,-4,-3,3.14E-29
-4,-1,1.613960515,-4,-1,8.08745E-05
-4,1,16.39403745,-4,1,0.066612204
-4,3,2.236121988,-4,3,1.754E-20
-4,4,1.862245418,-4,4,7.82608E-38
-3,-5,1.490491477,-3,-5,4.60E-127
-3,-3,4.09822192,-3,-3,1.27E-64
-3,-1,2.732919048,-3,-1,2.07708E-22
-3,1,25.23825018,-3,1,0.108964974
-3,3,6.329468159,-3,3,0.018274911
-3,4,1.861813848,-3,4,6.50751E-11
-2,-5,1.360714669,-2,-5,2.20E-195
-2,-3,2.845388504,-2,-3,4.88E-116
-2,-1,1.112668353,-2,-1,1.27E-56
-2,1,1.732971758,-2,1,1.06097E-18
-2,3,8.415100218,-2,3,0.028282193
-2,4,10.88307532,-2,4,0.040150685
-1,-5,3.219545163,-1,-5,1.26E-280
-1,-3,3.717590627,-1,-3,2.25E-184
-1,-1,4.71017679,-1,-1,9.34E-108
-1,1,1.610608186,-1,1,1.23756E-52
-1,3,2.352406995,-1,3,5.24344E-19
-1,4,7.050995623,-1,4,2.96768E-10
0,-5,1.609120115,0,-5,0.00E+00
0,-3,2.591772208,0,-3,1.25E-269
0,-1,2.727215964,0,-1,8.21E-176
0,1,2.847048019,0,1,1.7293E-103
0,3,1.857053226,0,3,1.16457E-52
0,4,1.735196239,0,4,2.62776E-35
