SF,TF,RESP,SFFIT ,TFFIT,FIT,,,
-5,-5,0.62929033,-5,-5,0.109958973,,10.29929033,0.62929033
-5,-3,2.249790552,-5,-3,2.525191527,,11.91979055,2.249790552
-5,-1,13.41802465,-5,-1,14.90051556,,23.08802465,13.41802465
-5,1,14.93191586,-5,1,21.13320242,,24.60191586,14.93191586
-5,3,13.43064541,-5,3,7.204210204,,23.10064541,13.43064541
-5,4,1.507117941,-5,4,2.464440288,,11.17711794,1.507117941
-4,-5,1.014922771,-4,-5,0.08824438,,10.68492277,1.014922771
-4,-3,0.645515073,-4,-3,2.588860081,,10.31551507,0.645515073
-4,-1,12.43446141,-4,-1,19.59858205,,22.10446141,12.43446141
-4,1,34.65276594,-4,1,35.66134915,,44.32276594,34.65276594
-4,3,9.458638914,-4,3,15.59652815,,19.12863891,9.458638914
-4,4,3.989918073,-4,4,6.043164377,,13.65991807,3.989918073
-3,-5,3.85692126,-3,-5,0.047438808,,13.52692126,3.85692126
-3,-3,8.591877858,-3,-3,1.827397016,,18.26187786,8.591877858
-3,-1,14.91991667,-3,-1,18.25094248,,24.58991667,14.91991667
-3,1,32.17425824,-3,1,43.81216627,,41.84425824,32.17425824
-3,3,21.89528154,-3,3,25.27907647,,31.56528154,21.89528154
-3,4,3.124748164,-3,4,11.25034483,,12.79474816,3.124748164
-2,-5,-1.838822197,-2,-5,0.017880358,,7.831177803,-1.838822197
-2,-3,3.129994873,-2,-3,0.896082608,,12.79999487,3.129994873
-2,-1,17.42634895,-2,-1,11.69666706,,27.09634895,17.42634895
-2,1,25.09719072,-2,1,36.69722746,,34.76719072,25.09719072
-2,3,26.98696897,-2,3,27.67333021,,36.65696897,26.98696897
-2,4,6.723716943,-2,4,14.07981353,,16.39371694,6.723716943
-1,-5,-0.843855107,-1,-5,0.004656934,,8.826144893,-0.843855107
-1,-3,0.639288448,-1,-3,0.303629944,,10.30928845,0.639288448
-1,-1,8.098864896,-1,-1,5.179888065,,17.7688649,8.098864896
-1,1,16.16951972,-1,1,21.23993561,,25.83951972,16.16951972
-1,3,30.24378486,-1,3,20.9335586,,39.91378486,30.24378486
-1,4,7.708402099,-1,4,12.17613313,,17.3784021,7.708402099
0,-5,-0.219911244,0,-5,0.000838118,,9.450088756,-0.219911244
0,-3,-2.207829554,0,-3,0.0710923,,7.462170446,-2.207829554
0,-1,1.388108147,0,-1,1.585112305,,11.05810815,1.388108147
0,1,2.995576508,0,1,8.494827284,,12.66557651,2.995576508
0,3,3.741565696,0,3,10.94223695,,13.4115657,3.741565696
0,4,3.615894957,0,4,7.276177548,,13.28589496,3.615894957
