direction,SF,TF,logSF,logTF,cell1,cell1_spont,cell1_lessspont,cell1_norm
0,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,10.238,6.9872,3.2508,0.09175585963961523
0,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,7.3022,6.9872,0.3150000000000004,0.008891071670505363
0,0.125,0.031,-3,-5.011587974275212,8.7774,6.9872,1.7902000000000005,0.050529512712821224
0,0.25,0.031,-2,-5.011587974275212,10.227,6.9872,3.2398000000000007,0.09144537777175635
0,0.5,0.031,-1,-5.011587974275212,8.7782,6.9872,1.7910000000000004,0.05055209321230187
0,1,0.031,0,-5.011587974275212,16.083,6.9872,9.095799999999999,0.25673463397010343
0,0.03150943396226415,0.125,-4.988072351863872,-3,5.8288,6.9872,-1.1583999999999994,-0.03269656324797903
0,0.06297169811320755,0.125,-3.9891526177630077,-3,11.683,6.9872,4.6958,0.13254188682653661
0,0.125,0.125,-3,-3,10.238,6.9872,3.2508,0.09175585963961523
0,0.25,0.125,-2,-3,11.676,6.9872,4.6888000000000005,0.13234430745608097
0,0.5,0.125,-1,-3,10.226,6.9872,3.2388000000000012,0.09141715214740555
0,1,0.125,0,-3,7.2982,6.9872,0.31099999999999994,0.008778169173102108
0,0.03150943396226415,0.5,-4.988072351863872,-1,10.207,6.9872,3.219800000000001,0.09088086528474014
0,0.06297169811320755,0.5,-3.9891526177630077,-1,27.786,6.9872,20.7988,0.5870591157476404
0,0.125,0.5,-3,-1,17.538,6.9872,10.5508,0.29780291740053294
0,0.25,0.5,-2,-1,17.551,6.9872,10.563799999999999,0.29816985051709344
0,0.5,0.5,-1,-1,18.986,6.9872,11.998800000000001,0.3386736214605068
0,1,0.5,0,-1,13.13,6.9872,6.142800000000001,0.17338436526215967
0,0.03150943396226415,2,-4.988072351863872,1,20.446,6.9872,13.458800000000002,0.37988303301269033
0,0.06297169811320755,2,-3.9891526177630077,1,30.69,6.9872,23.702800000000003,0.6690263288623947
0,0.125,2,-3,1,42.416,6.9872,35.428799999999995,1
0,0.25,2,-2,1,23.267,6.9872,16.2798,0.45950751930632716
0,0.5,2,-1,1,30.717,6.9872,23.729799999999997,0.6697884207198663
0,1,2,0,1,17.535,6.9872,10.5478,0.2977182405274805
0,0.03150943396226415,8,-4.988072351863872,3,23.403,6.9872,16.415799999999997,0.4633462042180373
0,0.06297169811320755,8,-3.9891526177630077,3,26.278,6.9872,19.290799999999997,0.5444948742266179
0,0.125,8,-3,3,33.624,6.9872,26.6368,0.751840310707673
0,0.25,8,-2,3,18.998,6.9872,12.010800000000001,0.33901232895271655
0,0.5,8,-1,3,27.772,6.9872,20.784799999999997,0.586663957006729
0,1,8,0,3,20.464,6.9872,13.476799999999999,0.38039109425100487
0,0.03150943396226415,16,-4.988072351863872,4,16.069,6.9872,9.0818,0.2563394752291921
0,0.06297169811320755,16,-3.9891526177630077,4,26.304,6.9872,19.3168,0.545228740459739
0,0.125,16,-3,4,36.524,6.9872,29.5368,0.8336946213250238
0,0.25,16,-2,4,36.563,6.9872,29.5758,0.8347954206747055
0,0.5,16,-1,4,21.8,6.9872,14.812800000000001,0.41810052838368794
0,1,16,0,4,7.3,6.9872,0.3128000000000002,0.008828975296933574
