direction,SF,TF,logSF,logTF,cell2,cell2_spont,cell2_lessspont,cell2_norm
90,0.031509434,0.031,-4.988072352,-5.011587974,1.4589,0.68279,0.77611,0.009916158
90,0.062971698,0.031,-3.989152618,-5.011587974,0,0.68279,-0.68279,-0.008723832
90,0.125,0.031,-3,-5.011587974,4.3876,0.68279,3.70481,0.047335404
90,0.25,0.031,-2,-5.011587974,0,0.68279,-0.68279,-0.008723832
90,0.5,0.031,-1,-5.011587974,1.4629,0.68279,0.78011,0.009967265
90,1,0.031,0,-5.011587974,1.4629,0.68279,0.78011,0.009967265
90,0.031509434,0.125,-4.988072352,-3,1.4636,0.68279,0.78081,0.009976208
90,0.062971698,0.125,-3.989152618,-3,0,0.68279,-0.68279,-0.008723832
90,0.125,0.125,-3,-3,1.4611,0.68279,0.77831,0.009944267
90,0.25,0.125,-2,-3,2.9229,0.68279,2.24011,0.028621309
90,0.5,0.125,-1,-3,0,0.68279,-0.68279,-0.008723832
90,1,0.125,0,-3,0,0.68279,-0.68279,-0.008723832
90,0.031509434,0.5,-4.988072352,-1,0,0.68279,-0.68279,-0.008723832
90,0.062971698,0.5,-3.989152618,-1,0,0.68279,-0.68279,-0.008723832
90,0.125,0.5,-3,-1,5.8465,0.68279,5.16371,0.065975394
90,0.25,0.5,-2,-1,7.3036,0.68279,6.62081,0.084592385
90,0.5,0.5,-1,-1,0,0.68279,-0.68279,-0.008723832
90,1,0.5,0,-1,0,0.68279,-0.68279,-0.008723832
90,0.031509434,2,-4.988072352,1,0,0.68279,-0.68279,-0.008723832
90,0.062971698,2,-3.989152618,1,30.67,0.68279,29.98721,0.383138865
90,0.125,2,-3,1,58.454,0.68279,57.77121,0.738127883
90,0.25,2,-2,1,45.284,0.68279,44.60121,0.569858182
90,0.5,2,-1,1,17.557,0.68279,16.87421,0.215597439
90,1,2,0,1,2.9273,0.68279,2.24451,0.028677527
90,0.031509434,8,-4.988072352,3,1.4596,0.68279,0.77681,0.009925101
90,0.062971698,8,-3.989152618,3,11.697,0.68279,11.01421,0.140725727
90,0.125,8,-3,3,23.375,0.68279,22.69221,0.289932527
90,0.25,8,-2,3,58.483,0.68279,57.80021,0.738498408
90,0.5,8,-1,3,78.95,0.68279,78.26721,1
90,1,8,0,3,10.233,0.68279,9.55021,0.122020575
90,0.031509434,16,-4.988072352,4,1.4622,0.68279,0.77941,0.009958321
90,0.062971698,16,-3.989152618,4,1.4589,0.68279,0.77611,0.009916158
90,0.125,16,-3,4,8.7644,0.68279,8.08161,0.103256651
90,0.25,16,-2,4,35.057,0.68279,34.37421,0.439190435
90,0.5,16,-1,4,48.252,0.68279,47.56921,0.607779554
90,1,16,0,4,27.762,0.68279,27.07921,0.345984097
