45,0.031,0.000668,4.6003
45,0.031,0.001336,5.8368
45,0.031,0.00267,5.216
45,0.031,0.0053,7.8296
45,0.031,0.0106,3.4764
45,0.031,0.0212,5.0695
45,0.031,0.0424,5.324
45,0.125,0.000668,4.4727
45,0.125,0.001336,9.5636
45,0.125,0.00267,8.4431
45,0.125,0.0053,14.289
45,0.125,0.0106,7.2091
45,0.125,0.0212,4.3343
45,0.125,0.0424,3.8359
45,0.5,0.000668,9.4365
45,0.5,0.001336,8.4401
45,0.5,0.00267,9.4501
45,0.5,0.0053,13.779
45,0.5,0.0106,14.026
45,0.5,0.0212,7.1801
45,0.5,0.0424,4.8234
45,2,0.000668,22.714
45,2,0.001336,30.914
45,2,0.00267,37.287
45,2,0.0053,22.961
45,2,0.0106,13.417
45,2,0.0212,10.4
45,2,0.0424,6.7713
45,8,0.000668,14.025
45,8,0.001336,13.548
45,8,0.00267,15.41
45,8,0.0053,11.297
45,8,0.0106,10.561
45,8,0.0212,16.832
45,8,0.0424,8.7863
45,16,0.000668,18.136
45,16,0.001336,17.756
45,16,0.00267,24.23
45,16,0.0053,17.396
45,16,0.0106,7.8265
45,16,0.0212,9.6605
45,16,0.0424,6.6806
