180,0.031,0.000668,22.84,9.9296,4.9658,4.4687
180,0.031,0.001336,21.242,11.678,7.4537,5.9634
180,0.031,0.00267,17.394,12.918,8.1989,7.8221
180,0.031,0.0053,17.505,12.414,8.0704,9.561
180,0.031,0.0106,23.097,11.429,9.5643,7.4542
180,0.031,0.0212,22.362,11.926,8.4479,10.436
180,0.031,0.0424,19.619,11.796,7.8226,8.4437
180,0.125,0.000668,17.267,11.549,5.2168,5.3443
180,0.125,0.001336,21.495,11.68,7.3316,6.71
180,0.125,0.00267,18.647,11.436,8.9489,7.3336
180,0.125,0.0053,20.607,11.669,7.822,9.6849
180,0.125,0.0106,23.71,12.289,10.055,10.427
180,0.125,0.0212,26.206,12.172,10.434,6.958
180,0.125,0.0424,17.241,10.181,9.3121,8.4305
180,0.5,0.000668,14.028,13.159,7.4484,6.579
180,0.5,0.001336,16.007,14.144,9.5538,6.9485
180,0.5,0.00267,11.545,10.926,10.058,8.3189
180,0.5,0.0053,17.383,11.422,7.0771,7.6973
180,0.5,0.0106,21.602,12.291,9.3109,8.3185
180,0.5,0.0212,30.059,11.799,11.054,8.4487
180,0.5,0.0424,23.358,12.176,8.3225,8.0754
180,2,0.000668,14.908,16.152,12.298,13.418
180,2,0.001336,16.516,13.902,13.283,9.0643
180,2,0.00267,14.77,16.132,10.424,8.934
180,2,0.0053,17.03,12.804,9.8198,8.8259
180,2,0.0106,19.744,12.541,7.9461,8.5666
180,2,0.0212,16.898,11.183,6.8357,7.2072
180,2,0.0424,14.655,9.6879,7.9493,8.3233
180,8,0.000668,12.163,24.821,30.03,22.71
180,8,0.001336,12.8,23.744,23.864,19.017
180,8,0.00267,16.895,14.784,10.436,8.4484
180,8,0.0053,17.144,13.292,10.434,8.5719
180,8,0.0106,21.483,13.663,8.4457,8.4455
180,8,0.0212,16.27,10.558,7.9481,7.4515
180,8,0.0424,21.868,10.435,6.0873,5.7147
180,16,0.000668,16.033,12.551,10.685,17.025
180,16,0.001336,13.17,13.421,10.064,10.812
180,16,0.00267,12.043,13.285,10.925,7.3244
180,16,0.0053,17.262,11.421,12.171,7.9468
180,16,0.0106,19.373,10.432,8.9421,5.8365
180,16,0.0212,10.556,12.044,8.5686,9.6863
180,16,0.0424,19.875,9.8127,9.5642,6.3338
