135,0.031,0.000668,10.689,5.7182,3.3546
135,0.031,0.001336,6.5868,7.3325,4.5998
135,0.031,0.00267,8.1974,7.576,3.7258
135,0.031,0.0053,10.057,7.6976,4.098
135,0.031,0.0106,7.0581,7.4286,2.2285
135,0.031,0.0212,9.5378,7.68,3.3428
135,0.031,0.0424,8.1751,9.5363,6.0682
135,0.125,0.000668,10.185,5.9594,2.2364
135,0.125,0.001336,8.5794,8.2037,3.2331
135,0.125,0.00267,8.9468,9.6935,3.1065
135,0.125,0.0053,9.5653,8.4464,4.9693
135,0.125,0.0106,7.4349,6.9382,3.4694
135,0.125,0.0212,8.1727,7.6773,3.0954
135,0.125,0.0424,7.9387,7.1935,2.8516
135,0.5,0.000668,8.0711,7.325,3.7241
135,0.5,0.001336,8.3194,6.9525,6.3337
135,0.5,0.00267,8.9527,7.2111,2.9839
135,0.5,0.0053,9.073,8.9475,3.8529
135,0.5,0.0106,8.1696,9.0339,5.5705
135,0.5,0.0212,8.7807,6.8018,3.3375
135,0.5,0.0424,8.6632,8.9117,3.7129
135,2,0.000668,5.8346,14.399,7.6952
135,2,0.001336,6.8302,11.673,6.7073
135,2,0.00267,9.8025,14.146,4.5915
135,2,0.0053,10.805,11.55,5.8378
135,2,0.0106,9.5166,11.49,3.9486
135,2,0.0212,10.031,10.402,6.3152
135,2,0.0424,9.2813,8.4144,4.8275
135,8,0.000668,6.953,11.421,8.0714
135,8,0.001336,6.7021,10.427,9.0574
135,8,0.00267,7.7058,11.061,5.7175
135,8,0.0053,13.153,11.788,4.5919
135,8,0.0106,9.5216,12.241,6.6781
135,8,0.0212,10.264,11.997,4.3297
135,8,0.0424,8.6652,5.9396,3.4637
135,16,0.000668,6.7102,6.9585,4.3471
135,16,0.001336,6.5865,6.7096,3.8505
135,16,0.00267,9.0673,6.5815,4.7154
135,16,0.0053,8.4427,10.181,3.6006
135,16,0.0106,11.994,12.613,7.4196
135,16,0.0212,11.633,12.006,6.4328
135,16,0.0424,9.9056,9.535,4.9523
