90,0.031,0.000668,0.12432,13.793
90,0.031,0.001336,0.12425,12.412
90,0.031,0.00267,0,13.918
90,0.031,0.0053,0.24851,11.553
90,0.031,0.0106,0,13.157
90,0.031,0.0212,0,15.78
90,0.031,0.0424,0,14.672
90,0.125,0.000668,0,12.908
90,0.125,0.001336,0,13.784
90,0.125,0.00267,0.24808,13.663
90,0.125,0.0053,0,11.564
90,0.125,0.0106,0,12.164
90,0.125,0.0212,0,11.418
90,0.125,0.0424,0.24823,10.677
90,0.5,0.000668,0.12422,15.901
90,0.5,0.001336,0.24826,14.648
90,0.5,0.00267,0,14.291
90,0.5,0.0053,0,15.41
90,0.5,0.0106,0,15.152
90,0.5,0.0212,0,13.542
90,0.5,0.0424,0.12416,12.546
90,2,0.000668,0.7446,19.61
90,2,0.001336,0.99385,14.788
90,2,0.00267,1.4891,15.64
90,2,0.0053,0.24814,11.427
90,2,0.0106,0.37258,11.924
90,2,0.0212,0.37203,11.421
90,2,0.0424,0.12429,11.307
90,8,0.000668,0,18.876
90,8,0.001336,0,16.761
90,8,0.00267,0.12401,15.643
90,8,0.0053,0.49619,11.418
90,8,0.0106,0,12.926
90,8,0.0212,0.12429,10.926
90,8,0.0424,0.49625,14.27
90,16,0.000668,0,16.386
90,16,0.001336,0,14.396
90,16,0.00267,0.12419,14.407
90,16,0.0053,0.12435,14.415
90,16,0.0106,0,14.031
90,16,0.0212,0.12426,11.917
90,16,0.0424,0,15.152
