"","name","Amp","Q","X_peak","Y_peak","X_sig","Y_sig","method","amplitude","orientation","rss","rmse","deviance","AIC","R2","R2_adj"
"1","CALSTC01-LM-01-2918-cell1",1,0,-5.90809135112111,0.36153443174574,2.64116161049416,2.99106896953161,"elliptical_log","constrained","constrained",1.34524828908803,0.193308065093578,1.34524828908803,-6.16627788118245,0.53857744500892,0.525006193391535
"2","CALSTC01-LM-01-2964-cell1",1,0,-7.82926929242154,-0.520825696373484,4.53156547054424,4.20890861904273,"elliptical_log","constrained","constrained",0.33602182134051,0.0966123153727352,0.33602182134051,-56.103957753513,0.79208064438494,0.785965369219791
"3","CALSTC01-LM-01-2964-cell2",1,0,-7.36380209343349,-1.65645222533795,6.35926011257149,3.81275455654481,"elliptical_log","constrained","constrained",0.858830116694776,0.154455146014662,0.858830116694776,-22.3217366225858,0.701907145646205,0.693139708753446
"4","CALSTC01-LM-03-3009-cell1",1,0,-6.75256929064247,-0.961810360885187,4.00216863306929,2.31813761453859,"elliptical_log","constrained","constrained",0.418585804441827,0.13206466289313,0.418585804441827,-19.0652034913245,0.715914832437976,0.703001870276066
"5","CALSTC01-LM-03-3009-cell2",1,0,-3.73877908456722,1.36275761690388,1.98735712577056,1.84612267913893,"elliptical_log","constrained","constrained",0.629476230410471,0.132232563480919,0.629476230410471,-33.5063260783676,0.755219525939172,0.748020100231501
"6","CALSTC01-LM-05-3226-cell1",1,0,-3.49551276014436,1.66980310870027,2.25861353943976,2.28979016285998,"elliptical_log","constrained","constrained",0.707231208681859,0.140161732838439,0.707231208681859,-29.313422387206,0.774007186184925,0.767360338719775
"7","CALSTC01-LM-06-3176-cell2",1,0,-3.4304897636426,1.64705010845389,2.037803230685,1.8795705502299,"elliptical_log","constrained","constrained",1.71661327221954,0.218365981796841,1.71661327221954,2.60961219696201,0.509466244698882,0.495038781307672
"8","CALSTC04-LM-01-3040-cell2",1,0,-6.61337981876687,0.955227743374704,2.13242791443624,3.06114367765266,"elliptical_log","constrained","constrained",1.49247952512762,0.206500053623488,1.49247952512762,-1.09612515889507,0.620370112888651,0.608866176915579
"9","CALSTC04-LM-01-3289-cell1",1,0,-4.32702716249205,1.99757378734034,2.88781860674895,2.63599475577728,"elliptical_log","constrained","constrained",0.842695134427141,0.141648049288767,0.842695134427141,-34.9795884391512,0.78056302088738,0.775077096409565
"10","CALSTC04-LM-01-3289-cell2",1,0,-4.55823272705853,1.94089882645593,3.4047945859457,2.349393552816,"elliptical_log","constrained","constrained",0.654113871136941,0.1247963933332,0.654113871136941,-45.6191879460102,0.855202088718526,0.851582140936489
"11","CALSTC04-LM-01-3523-cell1",1,0,-3.93531305130709,3.48174825958567,2.48407293425293,1.92966363110217,"elliptical_log","constrained","constrained",0.290503135378786,0.0831669484743942,0.290503135378786,-79.7092053863661,0.907530633677863,0.90521889951981
"12","CALSTC04-LM-01-3523-cell2",1,0,-8.80080647211488,-1.38991439011154,10.8427690220153,2.3575982069576,"elliptical_log","constrained","constrained",0.634395685547742,0.122901013745649,0.634395685547742,-46.9047483787009,0.842353546131288,0.83841238478457
"13","CALSTC05-LM-01-3865-cell1",1,0,-1.19909688779578,-1.32524546332963,0.883633078297944,2.14065406850916,"elliptical_log","constrained","constrained",0.966524434784035,0.151698670206686,0.966524434784035,-29.2213325338369,0.548346328059066,0.537054986260543
"14","CALSTC05-LM-03-3860-cell1",0.951380304903173,0,-3.87445888888278,-0.327983444125808,2.5468443781603,1.67361460164098,"elliptical_log","constrained","constrained",0.828569421669127,0.185805613216825,0.828569421669127,-2.67755402163058,0.626789786754709,0.609825686152651
"15","CALSTC05-LM-03-3860-cell2",1,0,-2.43950817368898,-1.22271296186396,1.7174317574503,3.43868230916141,"elliptical_log","constrained","constrained",2.35024785386142,0.236555030034864,2.35024785386142,8.09858609884817,0.416752765445831,0.402171584581977
"16","CALSTC06-LM-02-3472-cell1",1,0,-3.10439315923476,1.53503293292563,1.89768735616061,1.89261454309088,"elliptical_log","constrained","constrained",0.964281196917427,0.151522526764444,0.964281196917427,-29.318924990832,0.663561575552471,0.655150614941283
"17","CALSTC07-LM-04-3755-cell1",1,0,-4.02816936950748,1.39926560962094,2.14836526205892,1.66794435492542,"elliptical_log","constrained","constrained",1.04689963631476,0.157880276846154,1.04689963631476,-25.8662982827844,0.625925543982381,0.616573682581941
"18","CALSTC07-LM-04-3755-cell2",1,0,-5.9864493915356,1.4403122394949,0.965398079083294,2.23686909956649,"elliptical_log","constrained","constrained",0.255323728104492,0.119099334848523,0.255323728104492,-15.5189187528881,0.821634883183718,0.810487063382701
"19","CALSTC07-LM-05-3547-cell1",1,0,-2.89130222766791,2.1374872856012,2.60976301928986,2.34803122396744,"elliptical_log","constrained","constrained",1.19613588170845,0.168758483505165,1.19613588170845,-20.2692441518809,0.73648255937006,0.729894623354311
"20","CALSTC07-LM-05-3547-cell2",1,0,-2.97731028459872,2.13277609792771,2.60043559749484,2.98871777695525,"elliptical_log","constrained","constrained",1.36284303293951,0.180135070548233,1.36284303293951,-14.7892218858946,0.679771449507636,0.671765735745327
"21","CALSTC07-LM-05-3606-cell2",0.963313661,0,-3.08058654233951,2.25476823562187,2.43486524065039,1.9010526210538,"elliptical_log","constrained","constrained",0.769586458943757,0.21931519255169,0.769586458943757,6.85418191130529,0.572541527689533,0.542008779667357
"22","CALSTC07-LM-05-3606-cell3",1,0,-5.56624795723465,1.81796120474334,1.61315550001524,2.09604105996151,"elliptical_log","constrained","constrained",1.00397399308044,0.204529337044066,1.00397399308044,1.93094448853866,0.576732093326158,0.557492643022801
"23","CALSTC07-LM-05-3657-cell1",1,0,-1.73389407973595,8.39487198397721,5.35257131707008,7.5976823347298,"elliptical_log","constrained","constrained",2.81000906384723,0.258659965419174,2.81000906384723,15.6025965954632,0.433263326388991,0.419094909548715
"24","CALSTC07-LM-05-3657-cell2",1,0,-106.390242196112,-98.0942974723249,117.977763277071,6.58551987330011,"elliptical_log","constrained","constrained",1.36969954470509,0.221173779825558,1.36969954470509,4.96739092446069,0.212726531091203,0.182446782287018
"25","CALSTC07-LM-07-3501-cell1",1,0,-5.0721123720701,2.24639384557721,0.596249183022122,1.32679626727424,"elliptical_log","constrained","constrained",1.22611530262161,0.285903865267286,1.22611530262161,15.0051661932142,0.348032993084659,0.297881684860402
"26","CALSTC07-LM-07-3588-cell1",1,0,-4.87558767538797,1.87397334393739,1.55116447853898,2.41299286785066,"elliptical_log","constrained","constrained",1.7513771067027,0.250098345420835,1.7513771067027,11.8500986791747,0.390816573293311,0.3673864414969
"27","CALSTC07-LM-09-3210-cell1",1,0,-3.26980398702771,1.70656609299774,2.38320405161614,2.87578616808311,"elliptical_log","constrained","constrained",2.0647320624712,0.221721192495655,2.0647320624712,2.65873240020301,0.621657737227133,0.612199180657811
"28","CALSTC08-LM-01-3183-cell1",1,0,-3.36043945057519,1.39980953459562,2.45915189282428,1.78211871532808,"elliptical_log","constrained","constrained",1.05944568185348,0.158823478072317,1.05944568185348,-25.3659623315339,0.665790366475967,0.657435125637866
"29","CALSTC08-LM-01-3183-cell2",1,0,-3.28088249569284,1.47012300207277,1.47748279054703,1.81119794299329,"elliptical_log","constrained","constrained",0.981948614451415,0.165155533971551,0.981948614451415,-17.4988941735001,0.607583605359758,0.596041946693869
"30","CALSTC08-LM-03-3070-cell1",1,0,-3.24847491839471,1.14242619482179,1.09629514291622,1.05360874362442,"elliptical_log","constrained","constrained",0.272764568658358,0.0805878060990971,0.272764568658358,-82.3554293314788,0.829839863135907,0.825585859714304
"31","CALSTC08-LM-03-3070-cell2",1,0,-3.15686310462143,1.3278055705769,1.69819401207391,1.20861149147545,"elliptical_log","constrained","constrained",0.462948281236574,0.10498846662696,0.462948281236574,-60.1371644372818,0.786407674151116,0.781067866004894
"32","CALSTC08-LM-03-3070-cell3",1,0,-3.1039030912408,1.09122511573048,1.55579839218053,1.0614240627804,"elliptical_log","constrained","constrained",0.875351435277597,0.144366550280675,0.875351435277597,-33.3827401623213,0.566085230216244,0.555237360971651
"33","CALSTC08-LM-03-3147-cell1",1,0,-3.63430831827471,1.12125119470976,0.966271041567238,1.12212469117104,"elliptical_log","constrained","constrained",2.02533920583108,0.219595906254186,2.02533920583108,1.84967503576927,0.337182801661042,0.320612371702568
"34","CALSTC08-LM-03-3147-cell2",1,0,-3.06096569879609,1.52080383667576,1.54457177460249,1.18176308415733,"elliptical_log","constrained","constrained",0.69210128195422,0.128369006973221,0.69210128195422,-43.2482520391945,0.703676545842979,0.696268459489054
"35","CALSTC08-LM-03-3147-cell3",1,0,-3.40647552954523,1.14253408761062,1.4483895864884,1.09105451569783,"elliptical_log","constrained","constrained",0.398421937242479,0.0973973131098154,0.398421937242479,-66.4415222186845,0.826741715033581,0.822410257909421
"36","CALSTC08-LM-03-3203-cell1",1,0,-2.61501634208943,2.26090940503855,2.69752652797116,1.35847156680979,"elliptical_log","constrained","constrained",0.473661273169793,0.106196277529796,0.473661273169793,-59.176325883766,0.887185694023821,0.884365336374416
"37","CALSTC08-LM-03-3203-cell2",1,0,-3.08130402393821,2.02153662622614,2.65188475258026,1.41169804443662,"elliptical_log","constrained","constrained",1.13193034704978,0.164166752263679,1.13193034704978,-22.5864604041574,0.677885120719898,0.669832248737896
"38","CALSTC08-LM-03-3575-cell1",1,0,-4.98235935374647,1.6843729132101,2.74108568115413,2.80459577604277,"elliptical_log","constrained","constrained",1.03775376290229,0.157189131069057,1.03775376290229,-26.234828752201,0.728015070033882,0.721215446784729
"39","CALSTC08-LM-03-3575-cell2",1,0,-4.85333513097291,1.75417723996263,1.97236428373406,2.47414350285003,"elliptical_log","constrained","constrained",0.786436475498074,0.136838145222922,0.786436475498074,-37.8815069691256,0.747521385832016,0.741209420477816
"40","CALSTC08-LM-03-3622-cell1",1,0,-4.32249259809212,1.52359953340432,1.73992056114744,2.89616046903457,"elliptical_log","constrained","constrained",1.59039462809869,0.194593264950908,1.59039462809869,-8.30403565189237,0.5024174429149,0.489977878987772
"41","CALSTC08-LM-03-3681-cell1",1,0,-3.10753728380654,0.565257233775097,2.44733429697843,3.32853304388418,"elliptical_log","constrained","constrained",1.12458435192295,0.163633180935064,1.12458435192295,-22.8599200766483,0.656188533551717,0.64759324689051
