"","r_i","r_s","r_is","R_indp","R_diag","ZF_indp","ZF_diag","Z_diff","name"
"1",0.847551539916275,0.733878358455214,0.92165252768677,0.649426611593387,-0.229547600221737,0.774306465886319,-0.233711850757057,4.09458975849364,"CALSTC01-LM-01-2918-cell1"
"2",0.925141572779102,0.889989125992526,0.965385060382476,0.554591746546871,-0.0315980574983953,0.624988481324377,-0.0316085800285147,2.667109871401,"CALSTC01-LM-01-2964-cell1"
"3",0.921032049042412,0.837798988807103,0.890385309036602,0.70440394558745,0.099976572635333,0.875988447652543,0.100311683782355,3.15081390963257,"CALSTC01-LM-01-2964-cell2"
"4",0.877557454784415,0.846117505100784,0.87427695052351,0.532662787521629,0.338946144009403,0.593855403093279,0.352901405379852,0.780780189712738,"CALSTC01-LM-03-3009-cell1"
"5",0.929902127061695,0.869033673650896,0.809090087235342,0.779944311882984,0.539702152662741,1.0452283576061,0.603735247589782,1.79335349057735,"CALSTC01-LM-03-3009-cell2"
"6",0.860396497037954,0.879776782021965,0.843004647779181,0.464349776741029,0.563448707454615,0.502842602507573,0.637871746527805,-0.548490975882741,"CALSTC01-LM-05-3226-cell1"
"7",0.830709226176205,0.713769041566585,0.73488922052407,0.644578556863498,0.273578194608005,0.765967592410735,0.28072742430153,1.9710548805956,"CALSTC01-LM-06-3176-cell2"
"8",0.79918221603333,0.787635774256509,0.980620060601683,0.222101955191161,0.033470625727635,0.225866050758595,0.0334831329910015,0.769531671070375,"CALSTC04-LM-01-3040-cell2"
"9",0.873178580772582,0.883494776944029,0.844892344155832,0.505696802076708,0.559022276344629,0.556930985778304,0.631409898452718,-0.328889973162269,"CALSTC04-LM-01-3289-cell1"
"10",0.872084816518368,0.924771371052611,0.832603607348068,0.484516855318022,0.732996761350623,0.528870021225271,0.935173316401638,-1.79418677109935,"CALSTC04-LM-01-3289-cell2"
"11",0.868489589241805,0.952644022538253,0.913348662775709,-0.0129751361059262,0.789779856890433,-0.0129758643188531,1.07084631206909,-4.78602914174067,"CALSTC04-LM-01-3523-cell1"
"12",0.793514206432298,0.917798205561161,0.861415438919649,0.014423548693427,0.757893604272029,0.0144245490373429,0.991247137107556,-4.3135317533318,"CALSTC04-LM-01-3523-cell2"
"13",0.814821280443253,0.740504104012305,0.933570426468895,0.512782876928079,-0.0971718458460182,0.566498168414771,-0.0974794344515681,2.93204570455655,"CALSTC05-LM-01-3865-cell1"
"14",0.824639268289981,0.791700566347346,0.8173118386488,0.50446413707151,0.361160539852212,0.555276165137567,0.378219883116863,0.573727926400178,"CALSTC05-LM-03-3860-cell1"
"15",0.842101714981485,0.645563912750574,0.881177627495,0.75676710399976,-0.378368978116637,0.988605561040821,-0.398154737464167,6.12376766765674,"CALSTC05-LM-03-3860-cell2"
"16",0.785850637823284,0.81459288945612,0.844460636777782,0.315309261898017,0.455788491468849,0.326429919009808,0.491982488808618,-0.731060353634571,"CALSTC06-LM-02-3472-cell1"
"17",0.867643742712184,0.791154563901632,0.76861298425232,0.663375728027396,0.390723239519728,0.798818499570259,0.412653295911736,1.70525936680443,"CALSTC07-LM-04-3755-cell1"
"18",0.954110062315825,0.906440777538013,0.958651594656371,0.708463461617249,-0.096436998350697,0.884092170537323,-0.0967376354518616,2.68611304906846,"CALSTC07-LM-04-3755-cell2"
"19",0.782501870906329,0.858185620579872,0.786563079632436,0.339076899526459,0.631219565536731,0.353049139843625,0.743440887684384,-1.72392328055867,"CALSTC07-LM-05-3547-cell1"
"20",0.770527487359,0.824482534386045,0.861470679821468,0.209700684514317,0.496464982222051,0.212858242877298,0.544603834389534,-1.46494886634727,"CALSTC07-LM-05-3547-cell2"
"21",0.776858929502305,0.756664739293125,0.592638511086665,0.623659604412587,0.584144438618301,0.730971927148979,0.668730881230059,0.158684153843499,"CALSTC07-LM-05-3606-cell2"
"22",0.830115801517564,0.759428794111836,0.869501987493809,0.528374644125777,0.136673938043852,0.587887596382496,0.137534617574816,1.45931043920407,"CALSTC07-LM-05-3606-cell3"
"23",0.664472620953971,0.658227412365203,0.982348396952097,0.126854371693787,0.0392280841703162,0.127541466230708,0.0392482247183203,0.38989239757517,"CALSTC07-LM-05-3657-cell1"
"24",0.75247105326027,0.461222864883348,0.705445399768369,0.679154390469742,-0.149106411783937,0.827542783220432,-0.150226404274344,3.45693611456408,"CALSTC07-LM-05-3657-cell2"
"25",0.774543334094102,0.589943211745553,0.674642369964598,0.631771204231164,0.144366297362503,0.744358429800569,0.145381971806341,1.46718669002546,"CALSTC07-LM-07-3501-cell1"
"26",0.884197215778286,0.625153239848688,0.795128542756462,0.817867780821226,-0.274986064035325,1.1503433209743,-0.282249825337122,5.0649816421909,"CALSTC07-LM-07-3588-cell1"
"27",0.866793365272163,0.788452748886788,0.834932770087617,0.61588383741275,0.235891066919849,0.718346170064396,0.240418569502709,2.11047113978933,"CALSTC07-LM-09-3210-cell1"
"28",0.689805822739866,0.815959782388793,0.750175560643734,0.203241626888573,0.623487887451928,0.20611154354405,0.730690956293797,-2.31647996440223,"CALSTC08-LM-01-3183-cell1"
"29",0.81522211698546,0.779476494424148,0.881891404270454,0.432761007109928,0.221721683951164,0.463288958386429,0.225466083166433,0.966041085894097,"CALSTC08-LM-01-3183-cell2"
"30",0.908227594336516,0.910955467152981,0.968718814599977,0.251719329278385,0.299840592355543,0.25724760640217,0.309344440170868,-0.230053388868985,"CALSTC08-LM-03-3070-cell1"
"31",0.834443695424264,0.8867962980026,0.834727784643621,0.370185408543449,0.626965223736481,0.388637933786385,0.736400041635919,-1.5356758874486,"CALSTC08-LM-03-3070-cell2"
"32",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC08-LM-03-3070-cell3"
"33",0.60546701049243,0.580674436893033,0.964137543419592,0.211117255154466,-0.0145769579390222,0.214340433246291,-0.0145779905454436,1.01087638841265,"CALSTC08-LM-03-3147-cell1"
"34",0.799501674975163,0.838854305492306,0.800840082999694,0.391755705269336,0.552037198984449,0.413872362297339,0.621306736676827,-0.916005394987985,"CALSTC08-LM-03-3147-cell2"
"35",0.929458535428794,0.909253383295097,0.903379351536548,0.605356875797673,0.439916214671922,0.701559744943563,0.472126908713323,1.01314797223442,"CALSTC08-LM-03-3147-cell3"
"36",0.672216300896401,0.941905353007308,0.624474270854956,0.320278393844605,0.9029363307433,0.331957293070805,1.4878931310807,-5.10447444906085,"CALSTC08-LM-03-3203-cell1"
