"","name","Amp","Q","X_peak","Y_peak","X_sig","Y_sig","method","amplitude","orientation","rss","rmse","deviance","AIC","R2","R2_adj"
"1","CALSTC01-LM-01-2918-cell1",1,-1,-5.46440849205364,1.61595157551143,2.91275319145076,2.33654331689787,"elliptical_log","constrained","constrained",0.793944589931331,0.148505947311821,0.793944589931331,-25.149805215114,0.718343612814449,0.710059601426639
"2","CALSTC01-LM-01-2964-cell1",1,-1,-6.82893147007529,2.30979492537508,3.69640359344152,2.83695370106789,"elliptical_log","constrained","constrained",0.241502037452964,0.0819047613344242,0.241502037452964,-67.9946926872906,0.855886929684191,0.85164830996902
"3","CALSTC01-LM-01-2964-cell2",1,-1,-4.21043395080871,1.58296193019158,2.88858374760976,2.8953171068384,"elliptical_log","constrained","constrained",0.459565163494387,0.112985392799048,0.459565163494387,-44.8321905933861,0.848300035363264,0.843838271697478
"4","CALSTC01-LM-03-3009-cell1",1,-1,-6.13670753871201,1.34737144405309,3.34852340857013,2.24223222360091,"elliptical_log","constrained","constrained",0.340191292575458,0.119057285332079,0.340191292575458,-24.0421749992678,0.770107086447701,0.75965740855896
"5","CALSTC01-LM-03-3009-cell2",1,-1,-3.87723973752329,1.64610725401106,2.39749418827558,1.79084769657582,"elliptical_log","constrained","constrained",0.337251496091953,0.0967889307393431,0.337251496091953,-55.9724559127925,0.864717965913865,0.86073908255839
"6","CALSTC01-LM-05-3226-cell1",1,-1,-3.57774816666859,1.66857981040026,2.28414599062948,2.22203154516121,"elliptical_log","constrained","constrained",0.776769490781008,0.146890878884539,0.776769490781008,-25.9371263721221,0.740282132115181,0.73264337129504
"7","CALSTC01-LM-06-3176-cell2",1,-1,-4.24514782799512,1.87725091532342,2.94171421589336,1.78538281967916,"elliptical_log","constrained","constrained",1.07072383456869,0.172459643795351,1.07072383456869,-14.3830509695972,0.690077818454269,0.680962460173512
"8","CALSTC04-LM-01-3040-cell2",1,-1,-6.52637819649802,1.78946605353326,2.08048243954102,3.00907435876266,"elliptical_log","constrained","constrained",1.4432255418184,0.203064067428302,1.4432255418184,-2.27066494029434,0.638692214423945,0.627743493648913
"9","CALSTC04-LM-01-3289-cell1",1,-1,-4.55297949727722,1.97487727969444,2.98884039592569,2.33667536280032,"elliptical_log","constrained","constrained",0.789409312565845,0.137096534686316,0.789409312565845,-37.7230405685266,0.76244083392002,0.756501854768021
"10","CALSTC04-LM-01-3289-cell2",1,-1,-4.43745981561393,2.01738404116907,2.93255421551235,2.33559361228069,"elliptical_log","constrained","constrained",1.05197487496747,0.158262506085803,1.05197487496747,-25.6631794800881,0.760531927201875,0.754545225381922
