"","r_i","r_s","r_is","R_indp","R_diag","ZF_indp","ZF_diag","Z_diff","name"
"1",0.752296970681115,0.754490966104305,0.993909954976611,0.0331970633706271,0.0933275697483866,0.0332092663266506,0.0935999568138486,-0.24530814440024,"CALSTC01-LM-01-2918-cell1"
"2",0.856519997897092,0.851942707889168,0.997257824763811,0.178403143165641,-0.0583464672583071,0.180332849759174,-0.0584128126526549,0.969789465186977,"CALSTC01-LM-01-2964-cell1"
"3",0.860472046544285,0.856342000593676,0.951933811794349,0.286330084449814,0.23855767572594,0.294563997439727,0.243244193510477,0.208462029019809,"CALSTC01-LM-01-2964-cell2"
"4",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC01-LM-03-3009-cell1"
"5",0.888829774769722,0.819978036913978,0.802921930630592,0.675423193534916,0.389228769136527,0.820649432670704,0.410890779153581,1.66444751890251,"CALSTC01-LM-03-3009-cell2"
"6",0.836634618043763,0.786493724198373,0.81487193332112,0.546790484788991,0.329896115838435,0.613791441811884,0.342711679209883,1.10113120104913,"CALSTC01-LM-05-3226-cell1"
"7",0.707791364099545,0.778849272332763,0.899824671794548,0.0254496162338722,0.460647163137322,0.0254551127976946,0.498132454162606,-1.92002443712488,"CALSTC01-LM-06-3176-cell2"
"8",0.729869905301625,0.737148255694988,0.994685584964963,-0.0483068619754803,0.158524485193942,-0.0483444902135467,0.159872781389385,-0.919462575518166,"CALSTC04-LM-01-3040-cell2"
"9",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC04-LM-01-3289-cell1"
"10",0.775494617396605,0.767826605940385,0.996546364791182,0.193984700478696,-0.095175808041548,0.196474377919095,-0.09546476142649,1.28916833311088,"CALSTC04-LM-01-3289-cell2"
"11",0.881277624281895,0.875190257840577,0.993641837338974,0.213925719713548,-0.00909739468288137,0.217281745602434,-0.00909764566999369,0.999664324391475,"CALSTC04-LM-01-3523-cell1"
"12",0.699894279672641,0.707857020402046,0.997740310256258,-0.13407827248041,0.198884696464945,-0.134890492353017,0.201571048897371,-1.48577393651976,"CALSTC04-LM-01-3523-cell2"
"13",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC05-LM-01-3865-cell1"
"14",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC05-LM-03-3860-cell1"
"15",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC05-LM-03-3860-cell2"
"16",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC06-LM-02-3472-cell1"
"17",0.803253942349645,0.774236627270781,0.941788615876313,0.348179185155308,0.0885924683601576,0.36337025450677,0.0888253423595646,0.970662845597771,"CALSTC07-LM-04-3755-cell1"
"18",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC07-LM-04-3755-cell2"
"19",0.8294119020326,0.778523855510324,0.941332543637226,0.455894764010806,-0.0118207657613756,0.492116636011322,-0.0118213163813886,2.22532974349966,"CALSTC07-LM-05-3547-cell1"
"20",0.685177713158733,0.640193818424419,0.992041425574197,0.517733512349547,-0.431036270915168,0.573238275260232,-0.461168719355025,4.56781760744942,"CALSTC07-LM-05-3547-cell2"
"21",0.617117099216796,0.741411766982822,0.847595877905124,-0.0317350430360901,0.52292497855136,-0.0317457030693521,0.580357168247889,-2.16411045546089,"CALSTC07-LM-05-3606-cell2"
"22",0.255647262189366,0.241105618030189,0.988917545534316,0.119468242417764,-0.081573600466352,0.120041536516848,-0.081755263424494,0.891110540336066,"CALSTC07-LM-05-3606-cell3"
"23",0.62668786101212,0.731965122605005,0.850346667985504,0.0118920730187907,0.485437183947329,0.0118926336642382,0.530073384299708,-1.67909753988741,"CALSTC07-LM-05-3657-cell1"
"24",0.46316117167068,0.282363809520003,0.529938763487545,0.385390523984444,0.0491180575922889,0.406375138945531,0.0491576153430279,1.57742987285957,"CALSTC07-LM-05-3657-cell2"
"25",0.801458664920785,0.794739944037562,0.995646572847395,0.179918591015338,-0.0579372071296953,0.181898554917375,-0.0580021643325797,0.699424776742637,"CALSTC07-LM-07-3501-cell1"
"26",0.739793365836889,0.711630438188014,0.89139253715022,0.331170448071255,0.171123616541358,0.344142311532101,0.172823947097829,0.756521413346948,"CALSTC07-LM-07-3588-cell1"
"27",0.870675880866784,0.839805010038513,0.957688698551859,0.424995775117809,0.0421628959098068,0.453773369738595,0.0421879070570675,1.81751219123008,"CALSTC07-LM-09-3210-cell1"
"28",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC08-LM-01-3183-cell1"
"29",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC08-LM-01-3183-cell2"
"30",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC08-LM-03-3070-cell1"
"31",0.713949386123216,0.729953450148588,0.859393023110952,0.247887830921786,0.325092853766363,0.25316109599311,0.337331347002206,-0.297586776313529,"CALSTC08-LM-03-3070-cell2"
"32",0.365874914378279,0.35682361427552,0.65711942770184,0.186602555124745,0.165925096156429,0.188814827479676,0.167473456878,0.0942409408568415,"CALSTC08-LM-03-3070-cell3"
"33",NA,NA,NA,NA,NA,NA,NA,NA,"CALSTC08-LM-03-3147-cell1"
"34",0.849462772199664,0.86465983528342,0.937136846227205,0.223373227098972,0.37254776106779,0.227203685673743,0.391378208258345,-0.724975061905371,"CALSTC08-LM-03-3147-cell2"
"35",0.784460199589291,0.794158357611651,0.893264308490667,0.274783671649018,0.335119501542409,0.282030889811371,0.348584379076051,-0.293892251002685,"CALSTC08-LM-03-3147-cell3"
