"","name","Amp","Q","X_peak","Y_peak","X_sig","Y_sig","method","amplitude","orientation","rss","rmse","deviance","AIC","R2","R2_adj"
"1","CALSTC01-LM-01-2918-cell1",1,-1.43304373057563,-5.43432791422566,2.06313954039431,2.92374285394046,2.33549433337917,"elliptical_log","constrained","unconstrained",0.720510023739405,0.141471436431863,0.720510023739405,-26.6437616455343,0.744898176169119,0.737395181350563
"2","CALSTC01-LM-01-2964-cell1",1,-0.983334551134744,-6.82560339305146,2.27015279982891,3.69314586768815,2.83411289730307,"elliptical_log","constrained","unconstrained",0.241443036797314,0.0818947557670673,0.241443036797314,-66.0034888164043,0.856137309622723,0.851906054023391
"3","CALSTC01-LM-01-2964-cell2",1,-0.898729992201943,-4.23811548822229,1.5384861328804,2.92204962047943,2.89302488616192,"elliptical_log","constrained","unconstrained",0.451341413165297,0.111969913266081,0.451341413165297,-43.4822310328655,0.850919997503032,0.846535291547239
"4","CALSTC01-LM-03-3009-cell1",1,-0.588003070402142,-6.39098773896739,0.56824999333805,3.82478757489429,2.17941339295815,"elliptical_log","constrained","unconstrained",0.289640408854542,0.109856043843474,0.289640408854542,-25.9030046113329,0.801519719416816,0.792497888481217
"5","CALSTC01-LM-03-3009-cell2",1,-0.686464059569618,-3.79695755783136,1.5668603400014,2.40527646643509,1.75271262809882,"elliptical_log","constrained","unconstrained",0.204405776381614,0.0753520950791855,0.204405776381614,-71.9984411849271,0.919622626429138,0.917258586029995
"6","CALSTC01-LM-05-3226-cell1",1,-0.494243782770276,-3.60092302912529,1.66512845807083,2.44243176414549,2.10400670061098,"elliptical_log","constrained","unconstrained",0.473055075475835,0.114631665621754,0.473055075475835,-41.7906719043825,0.847571527977294,0.843088337623685
"7","CALSTC01-LM-06-3176-cell2",1,-0.850020829488302,-4.15820531535198,1.8100044020069,2.87431169368176,1.77889880886574,"elliptical_log","constrained","unconstrained",1.03201378495745,0.169313465448414,1.03201378495745,-13.7086745121491,0.702051137070088,0.693287935219208
"8","CALSTC04-LM-01-3040-cell2",1,-0.877269790811004,-6.51086687693792,1.69398633910471,2.06044208013588,2.99056127586806,"elliptical_log","constrained","unconstrained",1.44228866673159,0.202998146841055,1.44228866673159,-0.293392694740071,0.63826901629528,0.627307471334531
"9","CALSTC04-LM-01-3289-cell1",1,-0.591275751121333,-4.60813538859712,1.85473328688851,3.11585265424113,2.32443285003016,"elliptical_log","constrained","unconstrained",0.512083150678948,0.110419454665138,0.512083150678948,-53.900554243981,0.850046339324444,0.846297497807555
"10","CALSTC04-LM-01-3289-cell2",1,-0.391757683521624,-4.63207131507052,1.87890367403651,3.12566119972212,2.27648820993858,"elliptical_log","constrained","unconstrained",0.516498271499593,0.110894444824109,0.516498271499593,-53.539987332383,0.888296887819219,0.8855043100147
"11","CALSTC04-LM-01-3523-cell1",1,0.358070642826963,-2.83049138496934,5.26085540987696,3.87240093764997,2.20007482801545,"elliptical_log","constrained","unconstrained",0.184194032996894,0.0662236529814821,0.184194032996894,-96.8454402719596,0.937920342318394,0.936368350876354
"12","CALSTC04-LM-01-3523-cell2",1,-0.0879760570019306,-7.50635246940172,0.100177796627433,7.72763099673362,2.28634275861494,"elliptical_log","constrained","unconstrained",0.629122375369172,0.122389150562689,0.629122375369172,-45.2553255810181,0.842838237778061,0.838909193722513
"13","CALSTC05-LM-01-3865-cell1",1,-2.17316261829349,-0.931573360702422,-1.67575695585754,1.61073960823491,1.67837767080673,"elliptical_log","constrained","unconstrained",0.340789855299013,0.0900779893968888,0.340789855299013,-71.0038357536847,0.836737334308939,0.832655767666662
