0,1.05,84,48,48,76,72,116,76,84,60,56,84,84,64,52,60,68,48,60,60,68
NaN,NaN,64.007,60.006,68.007,60.006,60.006,52.005,52.005,88.009,68.007,52.005,52.005,60.006,84.009,76.008,72.008,52.005,64.007,60.006,52.005,96.01
45,1.05,72,108,116,80,60,40,88,72,60,52,68,76,60,48,76,60,68,84,60,44
NaN,NaN,56,68,44,40,32,60,76,48,76,40,40,68,16,48,56,40,76,52,28,48
90,1.05,52,92,88,76,104,100,96,80,64,76,64,52,60,60,52,36,72,44,52,40
NaN,NaN,48.005,28.003,56.005,40.004,72.007,40.004,56.005,44.004,56.005,60.006,76.007,84.008,84.008,60.006,72.007,48.005,56.005,44.004,76.007,36.004
135,1.05,60,80,52,80,84,56,60,104,48,68,88,76,64,56,44,64,64,92,52,56
NaN,NaN,40,56,40,52,48,48,56,56,52,36,76,48,48,32,40,44,28,44,72,68
180,1.05,96,64,68,60,68,96,80,96,84,88,76,76,80,68,76,64,96,72,88,56
NaN,NaN,36.003,68.006,80.008,48.005,72.007,40.004,40.004,68.006,36.003,56.005,60.006,60.006,60.006,64.006,48.005,56.005,60.006,68.006,68.006,44.004
225,1.05,56,64,72,80,100,64,84,72,56,48,64,64,64,56,72,56,76,48,40,112
NaN,NaN,60,64,40,48,36,40,64,36,64,44,36,56,48,96,48,56,48,52,52,52
270,1.05,92,56,88,72,92,52,44,68,44,92,36,64,60,64,76,60,84,72,60,40
NaN,NaN,60.006,116.01,52.005,52.005,36.004,84.009,52.005,68.007,40.004,48.005,56.006,72.007,68.007,48.005,52.005,48.005,60.006,60.006,40.004,88.009
315,1.05,92,68,76,60,60,60,36,64,36,56,52,48,72,56,52,76,76,104,68,92
NaN,NaN,60,80,80,56,68,52,44,60,36,56,68,76,28,44,48,76,48,32,64,92
0,1.05,44,64,88,56,56,68,52,52,64,60,52,48,60,52,36,68,52,64,84,56
NaN,NaN,48,48,52,64,44,60,68,60,60,40,40,64,40,48,44,52,40,44,72,64
45,1.05,60.006,64.007,76.008,60.006,76.008,60.006,64.007,52.005,48.005,44.005,52.005,36.004,60.006,72.007,36.004,72.007,64.007,92.009,28.003,108.01
NaN,NaN,60,48,56,44,32,64,72,120,28,80,92,44,64,56,48,44,52,52,84,48
90,1.05,64,72,76,64,68,68,68,60,72,76,80,88,68,68,64,52,40,64,60,48
NaN,NaN,64.006,56.006,60.006,32.003,64.006,36.004,64.006,68.007,56.006,68.007,28.003,64.006,40.004,52.005,72.007,72.007,36.004,80.008,44.004,80.008
135,1.05,76,92,88,96,64,96,84,72,68,80,68,76,84,88,40,64,68,52,52,80
NaN,NaN,64,48,60,48,80,36,76,44,40,40,36,48,56,80,60,40,52,72,44,52
180,1.05,88,92,96,76,80,72,76,104,84,64,108,108,112,60,48,92,80,64,92,88
NaN,NaN,36.004,36.004,72.007,52.005,40.004,44.004,56.006,76.007,36.004,72.007,56.006,52.005,48.005,68.007,56.006,68.007,68.007,72.007,28.003,72.007
225,1.05,60,84,76,80,80,68,84,64,68,68,68,56,72,56,44,60,52,72,48,44
NaN,NaN,48,48,52,64,48,44,52,48,40,52,48,40,52,60,68,76,60,60,40,88
270,1.05,76,84,88,72,52,56,64,44,80,64,52,36,104,40,48,48,44,36,60,68
NaN,NaN,56.006,64.006,76.008,64.006,92.009,64.006,64.006,44.004,52.005,56.006,60.006,44.004,44.004,60.006,64.006,40.004,36.004,64.006,72.007,72.007
315,1.05,72,64,60,88,64,60,56,52,52,60,64,60,72,44,76,44,28,76,52,76
NaN,NaN,56,56,52,64,76,56,44,48,72,56,68,56,56,32,60,48,32,44,60,28
0,1.05,76,48,64,64,52,68,76,56,64,44,48,80,32,56,52,60,64,56,60,48
NaN,NaN,56.005,72.007,52.005,40.004,40.004,40.004,72.007,52.005,68.006,36.003,32.003,36.003,52.005,40.004,44.004,68.006,56.005,48.005,44.004,60.006
45,1.05,76,56,52,52,68,72,88.001,88.001,84.001,100,92.001,64,52,80,44,68,84.001,76,48,60
NaN,NaN,72,52,48,52,40,48,56,64,48,76,80,68,32,32,52,40,48,64,56,56
90,1.05,104,96,96,56,72,68,76,84,56,76,60,56,72,48,80,80,108,112,52,84
NaN,NaN,72,52,48,48,92,60,92,68,104,100,68,68,64,68,40,68,72,76,44,44
135,1.05,116.01,100.01,108.01,84.009,100.01,84.009,68.007,76.008,76.008,80.008,64.007,92.009,80.008,76.008,72.007,48.005,52.005,60.006,68.007,68.007
NaN,NaN,56,48,44,88,60,44,68,56,44,36,36,72,56,56,28,72,84,60,68,52
180,1.05,100,92,60,72,68,64,84,100,84,76,64,92,84,56,68,80,80,92,80,80
NaN,NaN,72.007,52.005,52.005,72.007,64.007,56.006,80.008,60.006,56.006,68.007,60.006,52.005,40.004,80.008,56.006,64.007,60.006,44.004,76.008,76.008
225,1.05,92,52,100,76,84,56,48,80,56,88,68,72,52,72,68,64,68,80,96,80
NaN,NaN,108,68,76,104,72,64,52,72,56,64,76,60,60,88,60,60,64,84,36,56
270,1.05,32,60,64,52,52,64,64,68,76,72,56,48,64,84,68,48,52,36,24,80
NaN,NaN,36,68,64,68,84,124,92,88,80,72,68,48,48,56,48,40,68,76,64,80
315,1.05,56.005,52.005,88.009,60.006,28.003,36.003,60.006,72.007,48.005,80.008,68.007,72.007,64.006,36.003,32.003,72.007,72.007,52.005,60.006,56.005
NaN,NaN,52,64,52,56,56,80,72,68,48,68,52,40,60,48,72,44,48,64,60,56
0,1.05,56,80,80,72,60,56,40,72,80,80,48,72,72,80,64,52,84,72,84,96
NaN,NaN,76.008,32.003,64.007,76.008,44.004,76.008,64.007,40.004,64.007,28.003,68.007,52.005,56.006,76.008,48.005,52.005,44.004,52.005,52.005,72.007
45,1.05,84,72,68,64,96,88,80,88,60,68,72,88,32,68,72,56,56,36,60,84
NaN,NaN,68,64,72,36,84,56,40,60,72,56,40,44,72,76,68,68,48,40,64,88
90,1.05,76,112,44,80,68,72,72,44,92,72,72,60,80,100,84,88,88,40,80,76
NaN,NaN,88.009,80.008,88.009,56.006,60.006,88.009,68.007,48.005,60.006,44.005,48.005,52.005,80.008,64.007,48.005,44.005,52.005,44.005,36.004,84.009
135,1.05,80,60,84,108,80,72,96,80,64,68,80,68,64,80,64,64,68,104,60,84
NaN,NaN,44,64,52,48,44,60,100,40,60,24,28,32,60,44,48,56,56,92,56,60
180,1.05,60,108,80,64,76,36,120,72,92,68,76,76,88,72,40,76,92,88,48,68
NaN,NaN,52,80,28,56,56,32,64,36,60,80,64,32,68,48,44,48,48,44,56,48
225,1.05,88.009,48.005,96.009,24.002,52.005,92.009,80.008,64.006,56.006,56.006,88.009,72.007,56.006,56.006,96.009,88.009,84.008,52.005,56.006,52.005
NaN,NaN,84,84,84,40,60,76,60,44,44,88,44,44,32,56,72,48,44,44,80,32
270,1.05,100,60,92,52,76,84,80,88,76,76,44,84,28,64,68,76,60,36,60,64
