0,2,8,12,16,12,20,16,28,12,16,32,40,8,24,24,32,0,8,16,24,4
NaN,NaN,8,40,16,4,16,24,0,28,44,12,20,4,12,28,12,8,4,4,28,4
45,2,16.002,36.004,32.003,28.003,24.002,48.005,28.003,16.002,40.004,32.003,24.002,36.004,40.004,20.002,36.004,28.003,36.004,8.0008,0,8.0008
NaN,NaN,24,20,8,4,12,8,20,20,4,4,4,12,36,8,12,4,0,12,20,20
90,2,71.899,111.84,87.877,103.85,51.927,63.91,63.91,79.888,71.899,59.916,75.893,43.938,63.91,59.916,59.916,55.922,43.938,35.95,63.91,55.922
NaN,NaN,48,48,52,36,40,40,40,48,20,16,20,20,24,16,36,8,4,8,52,40
135,2,76.008,116.01,68.007,76.008,84.009,104.01,56.006,52.005,80.008,52.005,56.006,72.007,56.006,64.007,64.007,56.006,36.004,48.005,52.005,36.004
NaN,NaN,64,48,48,44,44,32,36,44,44,28,28,16,36,12,4,36,8,28,12,64
180,2,32,48,48,56,80,52,56,44,44,48,48,60,20,44,40,44,60,44,40,44
NaN,NaN,16,20,24,16,12,8,0,4,32,12,12,0,8,28,28,8,8,20,12,12
225,2,32.003,20.002,8.0008,32.003,12.001,8.0008,8.0008,16.002,0,4.0004,24.002,36.003,52.005,44.004,12.001,20.002,36.003,20.002,16.002,24.002
NaN,NaN,24,16,20,28,0,4,4,12,16,4,4,12,8,4,8,0,8,40,28,8
270,2,7.9888,15.978,7.9888,0,11.983,19.972,7.9888,3.9944,3.9944,7.9888,43.938,11.983,19.972,11.983,0,7.9888,7.9888,3.9944,19.972,31.955
NaN,NaN,15.957,7.9784,11.968,3.9892,11.968,15.957,19.946,19.946,15.957,19.946,0,19.946,35.903,11.968,0,0,15.957,3.9892,11.968,19.946
315,2,28,20,16,0,0,20,20,0,0,0,0,4,36,8,4,12,0,8,8,0
NaN,NaN,0,8,8,24,16,4,0,4,20,32,8,0,4,32,24,8,4,32,4,4
0,2,20,20,16,8,8,12,44,4,20,24,4,8,24,12,8,4,8,20,28,8
NaN,NaN,16.002,20.002,16.002,12.001,4.0004,40.004,24.002,8.0008,4.0004,12.001,4.0004,12.001,0,0,20.002,28.003,4.0004,0,28.003,12.001
45,2,52,20,20,28,64,52,36,32,28,12,24,20,16,56,16,52,16,16,0,24
NaN,NaN,16,28,16,4,12,4,8,12,4,4,20,12,8,0,48,36,8,4,16,8
90,2,80,88,96,104,64,88,60,64,64,68,68,76,48,68,60,56,52,52,44,60
NaN,NaN,40.004,40.004,72.007,60.006,32.003,24.002,24.002,44.004,16.002,24.002,40.004,48.005,16.002,0,24.002,8.0008,56.006,24.002,20.002,28.003
135,2,84,52,72,108,96,56,56,68,80,32,36,52,52,72,44,36,96,48,44,48
NaN,NaN,36,28,28,48,44,44,44,56,24,16,24,16,12,32,4,16,12,8,4,4
180,2,64,52,56,52,44,52,68,44,44,36,64,36,84,56,40,32,68,40,40,40
NaN,NaN,8,0,8,4,28,4,16,0,0,12,20,20,0,8,8,8,8,36,12,20
225,2,24.002,16.002,28.003,20.002,24.002,4.0004,16.002,24.002,24.002,8.0008,8.0008,36.004,28.003,24.002,32.003,28.003,52.005,44.005,36.004,28.003
