0,1.05,50,40,30,50,30,30,40,30,20,20,65,50,20,50,55,10,5,5,45,50
NaN,NaN,10,5,40,20,50,60,45,50,45,35,30,0,10,15,35,30,40,45,15,45
45,1.05,60.007,45.006,50.006,25.003,25.003,55.007,50.006,45.006,50.006,40.005,10.001,25.003,10.001,30.004,55.007,35.004,40.005,30.004,40.005,45.006
NaN,NaN,45,20,25,5,25,15,20,60,60,30,15,30,30,50,40,25,10,40,10,35
90,1.05,35,40,35,84.999,35,55,20,60,65,45,30,25,30,55,50,9.9999,5,50,25,20
NaN,NaN,10,40,20,15,60,35,40,20,30,0,5,30,35,55,40,60,30,20,45,30
135,1.05,34.939,54.904,34.939,44.921,44.921,49.913,34.939,39.93,29.948,49.913,44.921,39.93,24.956,39.93,44.921,79.86,29.948,44.921,54.904,44.921
NaN,NaN,30.004,15.002,30.004,15.002,50.006,35.004,45.005,25.003,15.002,45.005,25.003,30.004,35.004,55.007,20.002,15.002,0,35.004,25.003,0
180,1.05,75,40,35,30,35,40,25,55,10,40,60,20,35,60,40,60,35,50,60,20
NaN,NaN,15,15,35,20,50,10,20,15,25,50,55,25,30,15,35,50,35,20,30,45
225,1.05,20,20,25,0,15,35,20,50,65,30,30,55,35,50,15,15,5,0,45,45
NaN,NaN,10,40,35,40,35,40,20,55,45,0,25,40,25,20,60,15,5,25,60,25
270,1.05,40.005,40.005,70.009,35.004,35.004,55.007,45.006,25.003,10.001,20.003,45.006,70.009,30.004,45.006,55.007,5.0006,35.004,35.004,35.004,30.004
NaN,NaN,54.904,24.956,44.921,24.956,19.965,54.904,54.904,24.956,29.948,44.921,74.869,29.948,29.948,34.939,69.878,34.939,39.93,14.974,29.948,44.921
315,1.05,50,15,20,40,50,10,55,55,50,25,30,40,20,45,40,30,30,20,0,5
NaN,NaN,30,30,40,50,20,35,45,10,5,60,60,45,40,15,45,40,30,15,25,55
0,1.05,15.002,40.005,50.006,30.004,50.006,5.0006,5.0006,45.006,35.004,35.004,25.003,45.006,45.006,30.004,30.004,25.003,50.006,20.003,35.004,45.006
NaN,NaN,30,50,10,45,35,15,30,25,45,25,65,45,35,35,5,0,0,45,55,55
45,1.05,50,30,25,20,30,45,40,55,20,35,40,35,30,60,20,50,45,25,15,35
NaN,NaN,35,45,30,20,60,25,50,40,15,40,10,40,20,30,35,30,45,35,5,45
90,1.05,70,45,65,60,35,65,35,75,35,20,85,50,55,45,10,20,15,35,90,25
NaN,NaN,39.935,14.976,19.968,24.96,49.919,24.96,54.911,19.968,44.927,64.895,29.951,24.96,9.9838,24.96,34.943,44.927,29.951,34.943,19.968,4.9919
135,1.05,50,65,50,55,55,45,50,45,45,60,50,40,70,60,35,50,55,25,70,55
NaN,NaN,40,5,30,50,20,10,5,25,45,10,30,30,60,30,20,15,25,50,25,40
180,1.05,60,50,45,50,50,60,15,0,55,40,75,40,35,40,50,50,5,20,45,40
NaN,NaN,20,35,20,65,40,20,0,20,35,45,50,35,20,20,15,40,60,50,35,15
225,1.05,40.005,10.001,10.001,20.002,60.007,40.005,45.005,30.004,25.003,0,25.003,60.007,30.004,20.002,10.001,50.006,45.005,30.004,15.002,30.004
NaN,NaN,25,25,40,35,25,25,25,5,10,45,30,25,30,55,35,30,15,20,60,50
270,1.05,20,0,10,15,0,25,45,25,40,45,40,20,40,20,30,20,10,20,5,55
NaN,NaN,20,45,40,50,55,25,5,35,50,20,25,45,55,35,15,20,45,55,55,20
315,1.05,20.003,35.005,30.004,70.009,15.002,45.006,30.004,15.002,55.007,25.003,25.003,30.004,40.005,35.005,25.003,5.0006,50.006,25.003,40.005,35.005
NaN,NaN,30,15,35,45,15,45,55,50,40,0,0,30,20,0,35,25,25,20,20,35
0,1.05,15,25,35,15,10,10,30,50,40,15,50,25,25,15,30,25,30,15,50,50
NaN,NaN,10,35,15,55,20,20,15,45,25,20,45,40,45,20,15,60,65,30,20,50
45,1.05,25,35,45,30,30,25,35,25,15,45,50,35,25,30,30,60,35,30,25,20
NaN,NaN,30,5,15,50,20,40,35,0,50,50,35,30,0,45,25,15,60,15,30,55
90,1.05,54.911,34.943,34.943,54.911,44.927,0,4.9919,64.895,54.911,54.911,29.951,14.976,84.862,59.903,14.976,0,29.951,34.943,69.887,44.927
NaN,NaN,24.956,49.913,4.9913,14.974,9.9825,34.939,39.93,54.904,69.878,4.9913,19.965,49.913,24.956,34.939,9.9825,49.913,24.956,24.956,9.9825,54.904
135,1.05,25,70,65,55,50,65,55,85,55,60,30,30,35,55,45,60,40,25,55,60
NaN,NaN,30.004,0,0,50.006,0,0,20.003,20.003,55.007,20.003,15.002,25.003,40.005,10.001,10.001,15.002,15.002,50.006,0,5.0006
180,1.05,50,35,40,65,10,50,80,45,55,5,15,25,50,40,40,40,0,25,65,35
NaN,NaN,15,10,5,50,30,10,20,10,30,10,30,35,50,50,5,20,30,40,40,35
225,1.05,15,20,10,30,0,15,35,35,15,50,40,20,20,25,40,55,20,50,25,20
NaN,NaN,20,30,20,30,25,10,45,40,20,0,30,40,80,15,30,25,40,35,40,55
270,1.05,20.002,15.002,10.001,25.003,10.001,25.003,60.007,40.005,30.004,20.002,35.004,30.004,20.002,20.002,5.0006,35.004,25.003,35.004,5.0006,35.004
NaN,NaN,25,45,40,30,30,20,5,20,5,30,50,40,20,50,40,20,40,30,15,15
315,1.05,35,60,10,40,50,25,45,25,25,20,40,30,35,30,20,30,30,15,10,55
NaN,NaN,40,45,35,25,25,45,45,0,15,65,30,5,35,35,40,15,30,40,10,40
0,1.05,25,30,20,30,45,25,25,35,20,50,20,30,10,30,50,15,20,45,25,15
NaN,NaN,25.003,20.002,35.004,45.005,25.003,0,10.001,55.007,50.006,30.004,30.004,25.003,15.002,10.001,30.004,40.005,15.002,40.005,45.005,35.004
45,1.05,10,40,45,15,20,25,25,40,35,5,55,15,20,45,50,50,25,55,10,25
NaN,NaN,0,10,25,40,30,30,30,25,5,0,25,65,40,60,40,20,40,40,0,20
90,1.05,55,25,65,75,55,45,35,40,40,35,40,25,50,25,25,40,25,30,55,50
NaN,NaN,10,0,0,20,25,60,30,20,35,10,5,0,55,45,5,25,25,20,30,20
135,1.05,65.008,75.009,50.006,55.007,45.006,20.003,50.006,50.006,60.008,40.005,70.009,15.002,60.008,35.004,50.006,70.009,30.004,15.002,50.006,60.008
NaN,NaN,30,5,15,10,15,20,75,20,45,20,0,0,45,45,30,5,5,30,30,20
180,1.05,40,15,35,65,25,30,25,0,15,35,30,20,35,45,45,25,15,15,10,40
NaN,NaN,55,45,0,10,30,45,25,0,5,45,45,30,20,0,5,60,25,5,35,25
225,1.05,29.951,29.951,0,54.911,14.976,9.9838,0,19.968,44.927,39.935,34.943,19.968,19.968,14.976,54.911,34.943,9.9838,14.976,4.9919,39.935
NaN,NaN,30,10,30,45,45,0,0,30,40,30,65,35,35,15,0,60,50,25,15,20
270,1.05,5,5,40,10,35,10,35,45,10,10,50,40,50,45,15,25,50,50,20,0
NaN,NaN,20,45,15,30,30,5,30,50,35,10,20,10,25,40,15,15,30,50,25,20
315,1.05,20,10,10,60,15,20,25,40,0,15,35,30,20,0,30,25,30,10,15,20
