0,5,12,28,24,32,16,20,8,20,16,12,4,12,12,12,12,8,24,0,16,20
NaN,NaN,12,4,4,12,4,8,8,16,8,8,4,4,8,8,4,16,4,0,12,4
45,5,20.002,28.003,32.003,36.004,36.004,24.002,28.003,20.002,4.0004,16.002,28.003,12.001,8.0008,12.001,12.001,4.0004,16.002,8.0008,0,16.002
NaN,NaN,4,8,0,4,8,8,12,0,16,20,0,4,4,4,0,8,4,4,16,4
90,5,35.95,7.9888,19.972,27.961,7.9888,7.9888,23.966,3.9944,3.9944,11.983,0,7.9888,15.978,15.978,11.983,11.983,7.9888,7.9888,11.983,27.961
NaN,NaN,8.0008,12.001,4.0004,8.0008,8.0008,12.001,4.0004,4.0004,12.001,20.002,48.005,24.002,36.004,20.002,20.002,56.006,40.004,20.002,44.005,36.004
135,5,8,4,0,8,0,4,4,16,4,0,24,12,4,16,4,4,4,4,8,12
NaN,NaN,24,12,8,12,12,20,16,8,0,4,4,0,4,0,4,8,4,8,12,12
180,5,4,0,0,12,12,0,4,16,12,4,4,12,8,12,4,0,8,8,16,4
NaN,NaN,12.001,4.0004,12.001,8.0008,12.001,16.002,4.0004,8.0008,0,0,8.0008,8.0008,0,8.0008,4.0004,0,12.001,4.0004,8.0008,8.0008
225,5,20,12,4,4,20,8,12,4,8,0,4,4,8,8,12,8,4,4,8,0
NaN,NaN,7.9888,3.9944,3.9944,11.983,3.9944,3.9944,7.9888,7.9888,3.9944,15.978,7.9888,15.978,11.983,11.983,3.9944,3.9944,0,7.9888,15.978,11.983
270,5,8.0008,12.001,0,16.002,8.0008,8.0008,8.0008,12.001,0,12.001,16.002,12.001,12.001,0,8.0008,28.003,8.0008,8.0008,24.002,4.0004
NaN,NaN,4,8,12,20,24,16,4,12,20,4,12,12,12,20,12,8,0,4,0,8
315,5,28,12,16,4,16,12,16,8,20,8,4,4,32,12,12,8,8,0,16,0
NaN,NaN,3.9944,7.9888,3.9944,0,7.9888,7.9888,7.9888,3.9944,3.9944,3.9944,7.9888,7.9888,0,3.9944,3.9944,11.983,0,3.9944,0,0
0,5,16.002,32.003,40.004,12.001,20.002,24.002,8.0008,28.003,20.002,12.001,28.003,4.0004,12.001,24.002,12.001,12.001,8.0008,16.002,8.0008,12.001
NaN,NaN,8,4,20,4,8,8,4,8,12,12,4,12,8,0,8,0,0,8,4,4
45,5,24,28,36,28,16,20,12,16,12,8,12,4,8,16,8,8,24,12,4,4
NaN,NaN,8,4,4,8,0,0,0,0,4,8,8,20,8,28,24,20,4,20,8,16
90,5,4.0004,16.002,12.001,32.003,28.003,4.0004,8.0008,4.0004,8.0008,8.0008,8.0008,4.0004,8.0008,8.0008,12.001,0,12.001,8.0008,4.0004,16.002
NaN,NaN,16,12,24,4,8,8,8,4,0,4,4,0,16,24,8,8,8,0,0,4
